Ssn,Ep,Item,Whose,Link,Components,IngredCount,RecipeSentences,Dishes,DifficultyScore
7,9,Savarin,Paul,https://thegreatbritishbakeoff.co.uk/pauls-savarin/,6,16,34,8,7.0
7,10,Victoria Sandwiches,Mary,,2,9,25,5,3.2
8,1,Chocolate mini rolls,Prue,https://thegreatbritishbakeoff.co.uk/prues-chocolate-mini-rolls/,3,10,32,9,6.6
8,2,Fortune cookies,Paul,https://thegreatbritishbakeoff.co.uk/pauls-fortune-cookies/,3,11,24,7,4.4
8,3,Cottage loaf,Paul,https://thegreatbritishbakeoff.co.uk/classic-cottage-loaf/,1,5,28,11,4.6
8,4,Stroopwafel,Prue,https://thegreatbritishbakeoff.co.uk/prues-stroopwafels/,2,11,18,12,5.6
8,5,Molten Chocolate Puddings,Paul,https://thegreatbritishbakeoff.co.uk/pauls-molten-puddings/,1,8,11,8,3.2
8,6,Pasteis de Nata,Paul,https://thegreatbritishbakeoff.co.uk/pauls-pasteis-de-nata/,2,9,29,11,5.4
8,7,Pizza Margherita,Prue,https://thegreatbritishbakeoff.co.uk/prues-pizza-margherita/,3,12,24,3,3.8
8,8,Rum nicky,Paul,https://thegreatbritishbakeoff.co.uk/pauls-cumberland-rum-nicky/,3,11,20,4,4.6
8,9,Les Miserables slices,Prue,https://thegreatbritishbakeoff.co.uk/les-miserables/,4,18,49,8,9.0
8,10,Ginger Biscuits,Prue,https://thegreatbritishbakeoff.co.uk/prues-iced-ginger-biscuits/,2,14,28,11,5.8
9,1,Wagon Wheels,Paul,https://thegreatbritishbakeoff.co.uk/wagon-wheels-biscuits/,3,12,33,8,5.8
9,2,Le gateau vert,Prue,https://thegreatbritishbakeoff.co.uk/le-gateau-vert/,4,14,35,13,8.6
9,3,Naan,Paul,https://thegreatbritishbakeoff.co.uk/naan-bread-with-garlic-ghee/,2,10,20,9,3.8
9,4,Raspbert blacmange and Langues de Chat,Prue,https://thegreatbritishbakeoff.co.uk/raspberry-blancmange/,2,17,35,16,8.0
9,5,Ma'amoul,Paul,https://thegreatbritishbakeoff.co.uk/pauls-maamoul/,3,15,25,8,6.2
9,6,Puits d'amour,Prue,https://thegreatbritishbakeoff.co.uk/prues-puits-damour/,4,15,46,6,7.0
9,7,Vegan pavlova,Prue,https://thegreatbritishbakeoff.co.uk/vegan-tropical-pavlova/,5,18,29,11,8.4
9,8,Aebleskiver,Paul,https://thegreatbritishbakeoff.co.uk/aebleskiver/,3,16,29,15,7.2
9,9,Torta Setteveli,Prue,https://thegreatbritishbakeoff.co.uk/torta-setteveli/,8,14,65,18,9.6
9,10,Campfire Pita breads with dips,Paul,https://thegreatbritishbakeoff.co.uk/pauls-campfire-pitta-breads/,5,29,44,7,8.6
