series,baker,star_baker,technical_winner,technical_top3,technical_bottom,technical_highest,technical_lowest,technical_median,series_winner,series_runner_up,total_episodes_appeared,first_date_appeared,last_date_appeared,first_date_us,last_date_us,percent_episodes_appeared,percent_technical_top3,baker_full,age,occupation,hometown,baker_last,baker_first,gender
4,Christine,1,1,2,6,1.0,7.0,4.0,0,0,8,2013-08-20,2013-10-08,,,80.0,25.0,Christine Wallace,66,Director of an engraving company,"Didcot, Oxfordshire",Wallace,Christine,F
4,Deborah,0,0,0,3,8.0,9.0,9.0,0,0,3,2013-08-20,2013-09-03,,,30.0,0.0,Deborah Manger,51,Dentist,Peterborough,Manger,Deborah,F
4,Frances,1,1,7,3,1.0,8.0,3.0,1,0,10,2013-08-20,2013-10-22,,,100.0,70.0,Frances Quinn,31,Children's Clothes Designer,"Market Harborough, Leicestershire",Quinn,Frances,F
4,Glenn,0,1,3,4,1.0,9.0,4.0,0,0,7,2013-08-20,2013-10-01,,,70.0,42.85714285714285,Glenn Cosby,37,English Teacher,"Teignmouth, Devon",Cosby,Glenn,M
4,Howard,0,0,0,6,5.0,10.0,7.0,0,0,6,2013-08-20,2013-09-24,,,60.0,0.0,Howard Middleton,51,Council Worker,Sheffield,Middleton,Howard,M
4,Kimberley,1,3,5,5,1.0,10.0,3.5,0,0,10,2013-08-20,2013-10-22,,,100.0,50.0,Kimberley Wilson,30,Psychologist,London,Wilson,Kimberley,F
4,Lucy,0,0,1,1,2.0,12.0,7.0,0,0,2,2013-08-20,2013-08-27,,,20.0,50.0,Lucy Bellamy,38,Horticulturist,"Grimsby, Lincolnshire",Bellamy,Lucy,F
4,Mark,0,0,0,3,5.0,11.0,6.0,0,0,3,2013-08-20,2013-09-03,,,30.0,0.0,Mark Onley,37,Carpenter and Kitchen Fitter,Milton Keynes,Onley,Mark,M
4,Robert,1,1,3,2,1.0,5.0,3.0,0,0,5,2013-08-20,2013-09-17,,,50.0,60.0,Robert Smart,54,Space Satellite Designer,"Melbourn, Cambridgeshire",Smart,Robert,M
4,Ruby,1,2,6,4,1.0,12.0,3.0,0,0,10,2013-08-20,2013-10-22,,,100.0,60.0,Ruby Tandoh,20,History of Art and Philosophy Student,"Southend, Essex",Tandoh,Ruby,F
4,Toby,0,0,0,1,13.0,13.0,13.0,0,0,1,2013-08-20,2013-08-20,,,10.0,0.0,Toby Waterworth,30,Web Programmer,"Reading, Berkshire",Waterworth,Toby,M
5,Chetna,1,1,5,4,1.0,8.0,3.0,0,0,9,2014-08-06,2014-10-01,,,90.0,55.55555555555556,Chetna Makan,35,Fashion Designer,"Broadstairs, Kent",Makan,Chetna,F
5,Claire,0,0,0,1,8.0,8.0,8.0,0,0,1,2014-08-06,2014-08-06,,,10.0,0.0,Claire Goodwin,31,Speech Therapist,"Ashton upon Mersey, Trafford",Goodwin,Claire,F
5,Diana,0,0,0,4,5.0,9.0,7.0,0,0,10,2014-08-06,2014-10-08,,,100.0,0.0,Diana Beard,69,Women's Institute (WI) Judge,"Alkington, Shropshire",Beard,Diana,F
5,Enwezor,0,0,0,2,9.0,9.0,9.0,0,0,2,2014-08-06,2014-08-13,,,20.0,0.0,Enwezor Nzegwu,39,Business Consultant,"Portsmouth, Hampshire",Nzegwu,Enwezor,M
5,Iain,0,0,0,4,4.0,11.0,7.5,0,0,4,2014-08-06,2014-08-27,,,40.0,0.0,Iain Watters,31,Construction Engineer,London/Belfast,Watters,Iain,M
5,Jordan,0,0,0,3,6.0,12.0,10.0,0,0,3,2014-08-06,2014-08-20,,,30.0,0.0,Jordan Cox,32,IT Manager,"Sneinton, Nottingham",Cox,Jordan,M
5,Kate,1,1,2,5,1.0,7.0,4.0,0,0,7,2014-08-06,2014-09-17,,,70.0,28.571428571428573,Kate Henry,41,Furniture Restorer,"Brighton, East Sussex",Henry,Kate,F
5,Luis,1,1,7,3,1.0,7.0,2.5,0,0,10,2014-08-06,2014-10-08,,,100.0,70.0,Luis Troyano,42,Graphic Designer,"Poynton, Cheshire",Troyano,Luis,M
5,Martha,0,2,5,3,1.0,5.0,3.0,0,0,8,2014-08-06,2014-09-24,,,80.0,62.5,Martha Collison,17,Student,"Ascot, Berkshire",Collison,Martha,F
5,Nancy,1,3,7,3,1.0,5.0,2.5,1,0,10,2014-08-06,2014-10-08,,,100.0,70.0,Nancy Birtwhistle,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire",Birtwhistle,Nancy,F
5,Norman,0,0,0,5,4.0,11.0,8.0,0,0,5,2014-08-06,2014-09-03,,,50.0,0.0,Norman Calder,66,Retired Naval Officer,"Portknockie, Moray",Calder,Norman,M
5,Richard,1,2,4,6,1.0,10.0,4.5,0,0,10,2014-08-06,2014-10-08,,,100.0,40.0,Richard Burr,38,Builder,"Mill Hill, London",Burr,Richard,M
6,Alvin,0,0,1,5,2.0,9.0,6.0,0,0,6,2015-08-05,2015-09-09,,,60.0,16.666666666666668,Alvin Magallanes,37,Nurse,"Bracknell, Berkshire",Magallanes,Alvin,M
6,Dorret,0,1,1,2,1.0,6.0,5.0,0,0,3,2015-08-05,2015-08-19,,,30.0,33.333333333333336,Dorret Conway,53,Accountant,"Penwortham, Lancashire",Conway,Dorret,F
6,Flora,0,1,7,2,1.0,6.0,3.0,0,0,9,2015-08-05,2015-09-30,,,90.0,77.77777777777777,Flora Shedden,19,Art gallery assistant,"Dunkeld, Perth and Kinross",Shedden,Flora,F
6,Ian,1,1,6,4,1.0,8.0,3.0,0,0,10,2015-08-05,2015-10-07,,,100.0,60.0,Ian Cumming,41,Travel photographer,"Great Wilbraham, Cambridgeshire",Cumming,Ian,M
6,Marie,1,0,1,1,3.0,11.0,7.0,0,0,2,2015-08-05,2015-08-12,,,20.0,50.0,Marie Campbell,66,Retired,"Auchterarder, Perthshire",Campbell,Marie,F
6,Mat,1,1,1,6,1.0,8.0,6.0,0,0,7,2015-08-05,2015-09-16,,,70.0,14.285714285714286,Mat Riley,37,Fire fighter,London,Riley,Mat,M
6,Nadiya,1,4,4,6,1.0,12.0,4.0,1,0,10,2015-08-05,2015-10-07,,,100.0,40.0,Nadiya Hussain,30,Full-time mother,Leeds / Luton,Hussain,Nadiya,F
6,Paul,0,1,3,5,1.0,10.0,5.0,0,0,8,2015-08-05,2015-09-23,,,80.0,37.5,Paul Jagger,49,Prison governor,"Swansea, Wales",Jagger,Paul,M
6,Sandy,0,0,0,4,4.0,9.0,6.5,0,0,4,2015-08-05,2015-08-26,,,40.0,0.0,Sandy Docherty,49,Child welfare officer,"Yeadon, West Yorkshire",Docherty,Sandy,F
6,Stu,0,0,0,1,11.0,11.0,11.0,0,0,1,2015-08-05,2015-08-05,,,10.0,0.0,Stu Henshall,35,Professional musician,"Guildford, Surrey",Henshall,Stu,M
6,Tamal,1,0,4,6,2.0,8.0,4.0,0,0,10,2015-08-05,2015-10-07,,,100.0,40.0,Tamal Ray,29,Trainee anaesthetist,Manchester,Ray,Tamal,M
6,Ugnė,0,1,2,3,1.0,7.0,5.0,0,0,5,2015-08-05,2015-09-02,,,50.0,40.0,Ugnė Bubnaityte,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania",Bubnaityte,Ugnė,F
7,Andrew,1,2,5,5,1.0,12.0,3.0,0,0,10,2016-08-24,2016-10-26,,,100.0,50.0,Andrew Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Smyth,Andrew,M
7,Benjamina,1,1,4,4,1.0,6.0,3.5,0,0,8,2016-08-24,2016-10-12,,,80.0,50.0,Benjamina Ebuehi,23,Teaching assistant,South London,Ebuehi,Benjamina,F
7,Candice,1,1,7,3,1.0,8.0,2.5,1,0,10,2016-08-24,2016-10-26,,,100.0,70.0,Candice Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Brown,Candice,F
7,Jane,1,2,5,5,1.0,9.0,3.5,0,0,10,2016-08-24,2016-10-26,,,100.0,50.0,Jane Beedle,61,Garden designer,Beckenham,Beedle,Jane,F
7,Kate,0,1,1,3,1.0,8.0,5.5,0,0,4,2016-08-24,2016-09-14,,,40.0,25.0,Kate Barmby,37,Nurse,"Brooke, Norfolk",Barmby,Kate,F
7,Lee,0,0,0,1,11.0,11.0,11.0,0,0,1,2016-08-24,2016-08-24,,,10.0,0.0,Lee Banfield,67,Pastor,Bolton,Banfield,Lee,M
7,Louise,0,0,0,2,9.0,10.0,9.5,0,0,2,2016-08-24,2016-08-31,,,20.0,0.0,Louise Williams,46,Hairdresser,Cardiff,Williams,Louise,F
7,Michael,0,0,1,2,3.0,9.0,7.0,0,0,3,2016-08-24,2016-09-07,,,30.0,33.333333333333336,Michael Georgiou,20,Student,Durham,Georgiou,Michael,M
7,Rav,0,0,1,5,3.0,10.0,8.0,0,0,6,2016-08-24,2016-09-28,,,60.0,16.666666666666668,Rav Bansal,28,Student support,Erith,Bansal,Rav,M
7,Selasi,0,1,3,6,1.0,11.0,5.0,0,0,9,2016-08-24,2016-10-19,,,90.0,33.333333333333336,Selasi Gbormittah,30,Client service associate,London,Gbormittah,Selasi,M
7,Tom,1,1,2,5,1.0,7.0,4.0,0,0,7,2016-08-24,2016-10-05,,,70.0,28.571428571428573,Tom Gilliford,26,Project engagement manager,Rochdale,Gilliford,Tom,M
7,Val,0,1,1,4,1.0,10.0,6.0,0,0,5,2016-08-24,2016-09-21,,,50.0,20.0,"Valerie ""Val"" Stones",66,"Semi-retired, Substitute teacher",Yeovil,Stones,Valerie,F
8,Chris,0,0,0,2,11.0,12.0,11.5,0,0,2,2017-08-29,2017-09-05,,,20.0,0.0,Chris Geiger,50,Software developer,Bristol,Geiger,Chris,M
8,Flo,0,0,0,3,7.0,10.0,9.0,0,0,3,2017-08-29,2017-09-12,,,30.0,0.0,Flo Atkins,71,Retired,Merseyside,Atkins,Flo,F
8,James,0,0,3,2,2.0,9.0,3.0,0,0,5,2017-08-29,2017-09-26,,,50.0,60.0,James Hillery,46,Banker,"Brentwood, Essex",Hillery,James,M
8,Julia,1,0,3,3,2.0,9.0,3.5,0,0,6,2017-08-29,2017-10-03,,,60.0,50.0,Julia Chernogorova,21,Aviation Broker,"Crawley, West Sussex",Chernogorova,Julia,F
8,Kate,1,1,3,7,1.0,10.0,5.5,0,0,10,2017-08-29,2017-10-31,,,100.0,30.0,Kate Lyon,29,Health and safety inspector,Merseyside,Lyon,Kate,F
8,Liam,1,0,3,5,2.0,8.0,4.5,0,0,8,2017-08-29,2017-10-17,,,80.0,37.5,Liam Charles,19,Student,North London,Charles,Liam,M
8,Peter,0,0,0,1,10.0,10.0,10.0,0,0,1,2017-08-29,2017-08-29,,,10.0,0.0,Peter Abatan,52,IT programme manager,"Southend, Essex",Abatan,Peter,M
8,Sophie,1,2,6,4,1.0,6.0,2.5,1,0,10,2017-08-29,2017-10-31,,,100.0,60.0,Sophie Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Faldo,Sophie,F
8,Stacey,1,2,4,5,1.0,11.0,4.0,0,0,9,2017-08-29,2017-10-24,,,90.0,44.44444444444444,Stacey Hart,42,Former school teacher,"Radlett, Hertfordshire",Hart,Stacey,F
8,Steven,1,3,6,4,1.0,7.0,3.0,0,0,10,2017-08-29,2017-10-31,,,100.0,60.0,Steven Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Carter-Bailey,Steven,M
8,Tom,0,0,0,4,4.0,7.0,5.0,0,0,4,2017-08-29,2017-09-19,,,40.0,0.0,Tom Hetherington,29,Architect,Edinburgh,Hetherington,Tom,M
8,Yan,0,2,2,5,1.0,8.0,5.0,0,0,7,2017-08-29,2017-10-10,,,70.0,28.571428571428573,"Chuen-Yan ""Yan"" Tsou",46,Laboratory research scientist,North London,Tsou,Chuen-Yan,F
9,Antony,0,0,0,3,8.0,12.0,9.0,0,0,3,,,,,30.0,0.0,Antony Amourdoux,30,Banker,London,Amourdoux,Antony,M
9,Briony,1,2,4,5,1.0,9.0,5.0,0,0,9,,,,,90.0,44.44444444444444,Briony Williams,33,Full-time parent,Bristol,Williams,Briony,F
9,Dan,1,1,3,3,1.0,6.0,3.5,0,0,6,,,,,60.0,50.0,Dan Beasley-Harling,36,Full-time parent,London,Beasley-Harling,Dan,M
9,Imelda,0,0,0,1,11.0,11.0,11.0,0,0,1,,,,,10.0,0.0,Imelda McCarron,33,Countryside recreation officer,County Tyrone,McCarron,Imelda,F
9,Jon,0,1,4,3,1.0,7.0,3.0,0,0,7,,,,,70.0,57.142857142857146,Jon Jenkins,47,Blood courier,Newport,Jenkins,Jon,M
9,Karen,0,0,0,5,5.0,11.0,7.0,0,0,5,,,,,50.0,0.0,Karen Wright,60,In-store sampling assistant,Wakefield,Wright,Karen,F
9,Kim-Joy,1,1,3,7,1.0,10.0,4.5,0,0,10,,,,,100.0,30.0,Kim-Joy Hewlett,27,Mental health specialist,Leeds,Hewlett,Kim-Joy,F
9,Luke,0,0,0,2,7.0,8.0,7.5,0,0,2,,,,,20.0,0.0,Luke Thompson,30,Civil servant/house and techno DJ,Sheffield,Thompson,Luke,M
9,Manon,1,0,3,5,2.0,8.0,4.0,0,0,8,,,,,80.0,37.5,Manon Lagrève,26,Software project manager,London,Lagrève,Manon,F
9,Rahul,1,1,5,5,1.0,7.0,3.5,1,0,10,,,,,100.0,50.0,Rahul Mandal,30,Research scientist,Rotherham,Mandal,Rahul,M
9,Ruby,1,3,7,3,1.0,10.0,3.0,0,0,10,,,,,100.0,70.0,Ruby Bhogal,29,Project manager,London,Bhogal,Ruby,F
9,Terry,0,1,1,3,1.0,9.0,8.0,0,0,5,,,,,50.0,20.0,Terry Hartill,56,Retired air steward,West Midlands,Hartill,Terry,M
10,Alice,1,2,4,6,1.0,8.0,4.5,0,0,10,,,,,100.0,40.0,Alice Fevronia,28,Geography teacher,Essex,Fevronia,Alice,F
10,Amelia,0,0,0,3,4.0,11.0,9.0,0,0,3,,,,,30.0,0.0,Amelia Le Bruin,24,Fashion designer,Halifax,Bruin,Amelia,F
10,Dan,0,0,0,1,9.0,9.0,9.0,0,0,1,,,,,10.0,0.0,Dan Chambers,32,Support worker,Rotherham,Chambers,Dan,M
10,David,1,2,8,2,1.0,10.0,2.0,1,0,10,,,,,100.0,80.0,David Atherton,36,International health adviser,Whitby,Atherton,David,M
10,Helena,0,1,1,4,1.0,12.0,9.0,0,0,5,,,,,50.0,20.0,Helena Garcia,40,Online project manager,Leeds,Garcia,Helena,F
10,Henry,1,2,5,3,1.0,6.0,3.0,0,0,8,,,,,80.0,62.5,Henry Bird,20,Student,Durham,Bird,Henry,M
10,Jamie,0,0,0,2,11.0,13.0,12.0,0,0,2,,,,,20.0,0.0,Jamie Finn,20,Part-time waiter,Surrey,Finn,Jamie,M
10,Michael,1,0,0,7,4.0,11.0,6.0,0,0,7,,,,,70.0,0.0,Michael Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,Chakraverty,Michael,M
10,Michelle,1,0,0,5,5.0,8.0,6.0,0,0,5,,,,,50.0,0.0,Michelle Evans-Fecci,35,Print shop administrator,"Tenby, Wales",Evans-Fecci,Michelle,F
10,Phil,0,0,1,3,3.0,10.0,7.0,0,0,4,,,,,40.0,25.0,Phil Thorne,56,HGV driver,Rainham,Thorne,Phil,M
10,Priya,0,0,1,5,2.0,10.0,7.0,0,0,6,,,,,60.0,16.666666666666668,Priya O'Shea,34,Marketing consultant,Leicester,O'Shea,Priya,F
10,Rosie,0,2,4,5,1.0,9.0,4.0,0,0,9,,,,,90.0,44.44444444444444,Rosie Brandreth-Poynter,28,Veterinary surgeon,Somerset,Brandreth-Poynter,Rosie,F
10,Steph,1,1,6,4,1.0,10.0,3.0,0,0,10,,,,,100.0,60.0,Steph Blackwell,28,Shop assistant,Chester,Blackwell,Steph,F
