app,mode,destination,source,distance,price
Uber,UberX,North End,Back Bay,3.16,10.5
Uber,WAV,South Station,North Station,2.17,9.0
Lyft,Lyft XL,Back Bay,South Station,2.13,13.5
Lyft,Lux Black,Theatre District,Fenway,2.73,26.0
Lyft,Lyft XL,South Station,Beacon Hill,2.21,16.5
Lyft,Lux Black,Boston University,North Station,3.15,27.5
Lyft,Lux Black,North End,Theatre District,1.72,19.5
Uber,UberX,North Station,Haymarket Square,0.49,6.5
Lyft,Lux,Fenway,Back Bay,1.42,13.5
Uber,WAV,Financial District,South Station,0.54,10.5
Uber,UberXL,Fenway,Theatre District,2.66,16.0
Lyft,Lux Black XL,Northeastern University,Beacon Hill,2.44,32.5
Lyft,Lux,North End,West End,1.04,13.5
Lyft,Lux,Northeastern University,Back Bay,1.06,13.5
Lyft,Lux Black XL,West End,Boston University,3.08,38.5
Uber,Black,South Station,Beacon Hill,2.48,18.5
Uber,UberPool,Northeastern University,Theatre District,1.8,8.5
Uber,Black SUV,Beacon Hill,Boston University,2.79,30.5
Uber,UberXL,West End,North End,1.42,12.5
Lyft,Lux Black,West End,Boston University,3.06,26.0
Lyft,Lux,West End,Boston University,3.15,19.5
Uber,UberX,Fenway,Financial District,4.48,12.0
Lyft,Lyft XL,South Station,Beacon Hill,2.35,16.5
Lyft,Shared,North Station,Fenway,3.27,10.5
Lyft,Lux Black XL,Back Bay,Haymarket Square,2.36,34.0
Lyft,Shared,Theatre District,South Station,1.14,3.5
Uber,UberPool,South Station,Theatre District,0.55,5.5
Lyft,Lux Black,Back Bay,Northeastern University,1.42,16.5
Uber,UberPool,Beacon Hill,North End,2.67,10.0
Uber,UberX,West End,Fenway,2.72,9.5
Lyft,Lux Black XL,Theatre District,Boston University,2.99,34.0
Uber,Black,South Station,Financial District,0.39,16.0
Lyft,Lyft XL,North End,Financial District,1.03,10.5
Uber,Black,Haymarket Square,West End,0.72,15.0
Lyft,Lux Black XL,Northeastern University,Beacon Hill,2.5,47.5
Uber,UberX,Northeastern University,Back Bay,1.22,7.5
Lyft,Lux,South Station,West End,2.17,16.5
Lyft,Lyft XL,Haymarket Square,Back Bay,2.25,34.0
Uber,Black,Theatre District,South Station,1.3,18.5
Lyft,Lyft XL,Back Bay,Fenway,1.47,11.0
Lyft,Shared,Financial District,Boston University,4.53,5.0
Uber,UberX,Boston University,North Station,3.01,10.5
Lyft,Lyft,North End,Financial District,1.28,7.0
Lyft,Shared,Financial District,Boston University,4.34,9.0
Uber,UberXL,Financial District,North End,1.04,12.0
Lyft,Lux Black XL,North Station,Northeastern University,3.21,55.0
Lyft,Lyft XL,Northeastern University,Financial District,3.11,19.5
Uber,Black SUV,Beacon Hill,Boston University,2.79,31.0
Lyft,Lux Black,West End,Boston University,3.13,26.0
Uber,UberX,Theatre District,Northeastern University,1.91,8.0
Uber,WAV,West End,Haymarket Square,0.62,7.0
Lyft,Lux,Beacon Hill,South Station,2.58,16.5
Lyft,Shared,Northeastern University,West End,2.99,7.0
Lyft,Shared,West End,Boston University,3.07,7.0
Lyft,Lux Black XL,Beacon Hill,South Station,2.53,34.0
Uber,WAV,North End,West End,1.23,7.5
Uber,Black SUV,Fenway,Back Bay,1.34,23.0
Uber,UberPool,Financial District,Haymarket Square,0.99,6.5
Lyft,Lyft XL,Financial District,Haymarket Square,1.08,10.5
Lyft,Lyft,South Station,Theatre District,0.62,7.0
Uber,UberXL,North Station,Haymarket Square,0.49,9.5
Uber,WAV,Theatre District,Northeastern University,1.91,8.5
Lyft,Lux,South Station,West End,2.06,16.5
Lyft,Lux Black XL,North End,Theatre District,1.75,27.5
Lyft,Lux Black,Financial District,North End,1.15,16.5
Lyft,Lux Black,Haymarket Square,West End,0.74,16.5
Lyft,Lux Black,Financial District,South Station,0.62,16.5
Lyft,Lyft,Beacon Hill,Fenway,2.44,9.0
Lyft,Lyft,Beacon Hill,Northeastern University,2.46,9.0
Uber,Black SUV,North Station,North End,0.92,26.0
Uber,Black SUV,West End,Fenway,2.72,35.0
Lyft,Shared,Back Bay,Haymarket Square,2.38,7.0
Lyft,Lyft,South Station,Theatre District,0.54,7.0
Uber,Black SUV,North End,Financial District,1.21,27.5
Uber,Black SUV,Fenway,Back Bay,1.34,27.0
Uber,Black SUV,Northeastern University,North Station,3.3,31.5
Uber,UberX,Haymarket Square,Back Bay,2.32,9.5
Uber,UberXL,Back Bay,Haymarket Square,2.3,16.0
Uber,UberPool,Fenway,Theatre District,2.66,9.5
Uber,Black,Haymarket Square,Beacon Hill,1.36,17.0
Uber,Black,Back Bay,Northeastern University,1.43,16.0
Uber,Black,North Station,South Station,1.84,18.5
Uber,Black,Beacon Hill,Boston University,2.8,25.0
Lyft,Lux Black XL,Back Bay,Fenway,1.46,27.5
Uber,UberX,Theatre District,North End,1.41,8.5
Uber,UberPool,Haymarket Square,Back Bay,2.23,10.0
Uber,UberXL,Fenway,Financial District,4.48,30.5
Uber,UberX,South Station,West End,2.14,7.5
Uber,UberXL,West End,Northeastern University,3.56,22.0
Uber,WAV,North End,Back Bay,2.7,17.0
Lyft,Lyft,Theatre District,Boston University,2.96,11.0
Uber,UberX,Back Bay,Northeastern University,1.64,8.5
Uber,Black,North Station,Boston University,3.39,23.5
Uber,Black SUV,North Station,South Station,2.38,29.0
Lyft,Lyft XL,Theatre District,Boston University,2.95,16.5
Uber,Black SUV,North Station,Northeastern University,3.22,33.5
Lyft,Lux,Boston University,Financial District,5.26,27.5
Uber,UberX,Haymarket Square,North Station,0.56,7.0
Lyft,Shared,Beacon Hill,North End,1.87,7.0
Uber,UberX,Theatre District,Haymarket Square,1.14,8.0
Lyft,Lux,Northeastern University,Back Bay,1.06,13.5
Uber,WAV,Financial District,Haymarket Square,0.99,12.5
Lyft,Lux Black XL,South Station,Beacon Hill,2.38,30.0
Uber,Black SUV,South Station,Financial District,0.47,26.0
Lyft,Lyft XL,North End,West End,1.08,11.0
Uber,Black,Haymarket Square,Financial District,1.25,15.0
Uber,Black SUV,Haymarket Square,Beacon Hill,1.35,26.0
Lyft,Lux Black,Boston University,Beacon Hill,2.32,22.5
Lyft,Lux Black XL,Financial District,Haymarket Square,1.01,26.0
Uber,UberXL,Back Bay,South Station,3.44,18.5
Uber,UberXL,Haymarket Square,West End,0.72,10.5
Uber,Black,South Station,Back Bay,3.45,26.0
Uber,UberX,Financial District,South Station,0.54,7.0
Uber,Black SUV,North Station,Haymarket Square,0.49,27.5
Lyft,Lux Black,Boston University,Financial District,5.32,38.5
Uber,WAV,Haymarket Square,Beacon Hill,1.35,8.0
Uber,UberXL,Theatre District,Fenway,2.66,15.0
Uber,Black SUV,Beacon Hill,Boston University,2.79,35.0
Uber,Black SUV,Beacon Hill,Haymarket Square,0.91,26.0
Lyft,Lyft XL,South Station,North Station,2.12,13.5
Uber,WAV,Northeastern University,Theatre District,1.8,9.5
Uber,UberPool,Theatre District,South Station,1.3,6.5
Uber,UberX,Northeastern University,West End,3.08,11.5
Uber,Black,Theatre District,Haymarket Square,1.16,15.0
Lyft,Lux Black,Back Bay,North End,2.48,22.5
Lyft,Lux Black XL,Back Bay,South Station,3.29,38.5
Uber,Black,North End,Theatre District,1.57,17.5
Uber,UberPool,South Station,Back Bay,3.45,10.0
Uber,Black SUV,Theatre District,South Station,1.3,26.0
Lyft,Lux Black XL,Back Bay,Haymarket Square,2.38,30.0
Uber,UberXL,Boston University,North Station,3.01,18.5
Uber,UberX,Beacon Hill,Fenway,2.46,14.0
Uber,UberXL,Northeastern University,Back Bay,1.22,11.5
Uber,UberX,Haymarket Square,North Station,0.56,7.5
Lyft,Lyft,Fenway,Beacon Hill,2.35,9.0
Uber,UberXL,Northeastern University,North Station,3.37,19.0
Uber,UberPool,Haymarket Square,Theatre District,1.61,10.0
Uber,Black,Haymarket Square,Financial District,1.25,15.5
Lyft,Lux Black XL,North End,Back Bay,3.01,42.5
Uber,Black,Haymarket Square,Beacon Hill,1.35,16.5
Lyft,Shared,Back Bay,Boston University,1.5,5.0
Lyft,Lyft XL,Fenway,Theatre District,3.13,16.5
Lyft,Lux,Northeastern University,Financial District,3.45,26.0
Uber,Black SUV,North End,Beacon Hill,1.46,26.5
Lyft,Lux Black,Beacon Hill,South Station,2.43,22.5
Uber,Black,South Station,West End,2.14,18.5
Lyft,Lux,North Station,Boston University,3.54,22.5
Uber,UberX,North Station,Northeastern University,3.22,9.5
Lyft,Lux Black,North End,Beacon Hill,2.13,22.5
Uber,UberPool,Northeastern University,Back Bay,1.22,7.5
Uber,WAV,Beacon Hill,Boston University,2.79,10.5
Uber,Black,Beacon Hill,Northeastern University,2.63,24.0
Lyft,Lux,Fenway,West End,2.93,19.5
Lyft,Lux Black,Boston University,Theatre District,4.63,32.5
Lyft,Lyft,West End,Fenway,2.86,10.5
Lyft,Lux Black XL,Fenway,West End,2.93,34.0
Lyft,Lux,Back Bay,South Station,2.16,22.5
Uber,UberPool,Back Bay,Haymarket Square,1.78,8.0
Lyft,Shared,Theatre District,North End,1.52,5.0
Lyft,Lyft XL,Back Bay,South Station,3.24,19.5
Uber,Black SUV,Back Bay,Fenway,1.5,26.0
Lyft,Lux Black XL,Fenway,Beacon Hill,2.43,27.5
Lyft,Shared,Back Bay,Fenway,1.48,5.0
Uber,Black,Beacon Hill,North End,2.67,24.0
Lyft,Shared,South Station,Beacon Hill,2.47,7.0
Uber,UberX,Back Bay,North End,2.58,11.0
Uber,WAV,Financial District,South Station,0.54,7.0
Uber,UberX,Fenway,Financial District,4.48,12.5
Lyft,Lyft XL,Fenway,North Station,3.16,16.5
Uber,UberX,Beacon Hill,Haymarket Square,0.91,9.5
Lyft,Lyft XL,North End,Financial District,1.25,11.0
Uber,Black SUV,West End,North End,1.16,27.5
Lyft,Lyft,North Station,Fenway,3.21,16.5
Lyft,Lux Black XL,North Station,Northeastern University,3.26,38.5
Lyft,Lyft XL,Fenway,West End,2.99,16.5
Lyft,Lux Black,Northeastern University,Beacon Hill,2.46,22.5
Uber,Black,Fenway,Financial District,4.48,29.5
Uber,Black,Financial District,Haymarket Square,0.99,15.0
Uber,Black SUV,Theatre District,Boston University,2.98,32.0
Uber,UberX,Financial District,South Station,0.63,7.0
Lyft,Lyft,North End,Back Bay,2.43,10.5
Lyft,Lyft XL,West End,Boston University,3.14,19.5
Uber,Black,Boston University,West End,2.8,23.0
Lyft,Lux,Fenway,Financial District,6.13,30.0
Lyft,Lyft,Boston University,North Station,3.13,10.5
Uber,Black,West End,Fenway,2.72,20.5
Lyft,Lyft XL,Northeastern University,Theatre District,2.89,19.5
Uber,WAV,Back Bay,North End,2.73,13.5
Lyft,Shared,West End,Haymarket Square,0.67,3.0
Lyft,Lux,Fenway,Theatre District,3.14,22.5
Lyft,Lyft,North Station,Boston University,3.46,11.0
Lyft,Lyft,Beacon Hill,Fenway,2.39,9.0
Lyft,Lux Black,Financial District,Fenway,4.48,32.5
Lyft,Lyft XL,Haymarket Square,Financial District,1.01,10.5
Lyft,Shared,Back Bay,North End,2.91,7.0
Uber,UberXL,Fenway,Theatre District,2.66,16.0
Lyft,Lux Black XL,Fenway,West End,2.98,32.5
Lyft,Lyft,South Station,Financial District,0.44,7.0
Lyft,Lux Black XL,Haymarket Square,Theatre District,1.75,27.5
Uber,Black,Theatre District,Haymarket Square,1.16,15.0
Uber,Black SUV,Northeastern University,Financial District,7.46,53.5
Lyft,Lux Black XL,North Station,Boston University,3.52,34.0
Uber,UberX,Back Bay,North End,2.73,12.5
Uber,WAV,Fenway,North Station,3.06,12.5
Uber,Black,North End,North Station,1.08,15.0
Uber,Black,North End,North Station,1.02,16.0
Uber,WAV,Theatre District,North End,1.41,10.5
Uber,WAV,Fenway,West End,2.84,11.5
Lyft,Lux,Boston University,Financial District,5.41,26.0
Uber,UberXL,West End,Haymarket Square,0.61,10.5
Lyft,Lyft XL,Financial District,Northeastern University,4.16,22.5
Uber,UberX,Theatre District,North End,1.41,7.5
Uber,Black,North End,Beacon Hill,2.43,30.5
Lyft,Lux,West End,Fenway,2.85,16.5
Lyft,Lyft,North End,Beacon Hill,2.09,9.0
Uber,UberPool,South Station,North Station,2.17,9.0
Lyft,Lux Black,Beacon Hill,Fenway,2.37,26.0
Lyft,Lux,North Station,Haymarket Square,0.57,11.0
Uber,WAV,Boston University,North Station,3.01,10.5
Uber,UberXL,Boston University,Financial District,4.44,20.5
Lyft,Lyft XL,Northeastern University,Beacon Hill,2.45,27.5
Lyft,Lux Black XL,Back Bay,Haymarket Square,2.37,34.0
Lyft,Lyft,North End,North Station,1.09,7.0
Lyft,Lux Black XL,Northeastern University,Beacon Hill,2.51,32.5
Uber,Black,Boston University,North Station,3.01,25.0
Uber,WAV,Haymarket Square,Theatre District,1.65,11.5
Lyft,Shared,Fenway,North Station,3.13,5.0
Lyft,Lux,Fenway,Financial District,4.61,26.0
Lyft,Lyft XL,Fenway,Beacon Hill,2.43,13.5
Uber,UberXL,South Station,West End,2.14,14.0
Uber,WAV,Northeastern University,Back Bay,1.22,13.5
Lyft,Lux,West End,Boston University,3.13,22.5
Lyft,Lyft XL,Haymarket Square,North Station,1.58,13.5
Lyft,Lux Black XL,Financial District,Boston University,4.41,42.5
Uber,UberX,North End,Beacon Hill,2.21,9.5
Lyft,Lyft,South Station,North Station,2.14,9.0
Uber,UberXL,Northeastern University,Theatre District,1.81,13.0
Lyft,Lux Black,West End,North End,1.28,16.5
Lyft,Lux Black,Fenway,North Station,3.16,26.0
Lyft,Lux Black,Theatre District,Boston University,2.92,27.5
Lyft,Lyft XL,Beacon Hill,Haymarket Square,1.34,11.0
Uber,UberPool,Haymarket Square,North Station,0.56,7.0
Uber,Black,South Station,Financial District,0.39,16.0
Lyft,Lyft,Northeastern University,Theatre District,2.16,10.5
Lyft,Shared,West End,Haymarket Square,0.64,5.0
Lyft,Lyft,Boston University,Financial District,5.43,13.5
Uber,UberXL,West End,Boston University,3.04,16.0
Lyft,Lux,Boston University,Financial District,5.39,26.0
Uber,UberXL,Boston University,West End,2.8,16.5
Lyft,Lux Black,Back Bay,South Station,3.25,26.0
Lyft,Lux,Beacon Hill,Boston University,2.72,16.5
Uber,Black SUV,Beacon Hill,Northeastern University,2.41,31.5
Uber,Black SUV,Fenway,West End,2.84,32.0
Uber,UberX,Northeastern University,Theatre District,1.8,15.0
Lyft,Lux Black XL,West End,North End,1.27,26.0
Lyft,Lux Black,Beacon Hill,Haymarket Square,1.15,16.5
Lyft,Lux Black XL,Financial District,South Station,0.61,26.0
Uber,UberX,West End,Northeastern University,2.86,8.5
Lyft,Lux Black,Northeastern University,Financial District,3.35,32.5
Lyft,Lyft,Beacon Hill,North End,2.43,10.5
Lyft,Lyft,Fenway,Theatre District,3.12,10.5
Uber,Black,South Station,Beacon Hill,2.48,18.5
Lyft,Lux Black,Back Bay,South Station,2.46,27.5
Lyft,Lyft XL,North Station,Boston University,3.45,19.5
Uber,UberX,South Station,North Station,2.12,9.5
Lyft,Lux Black XL,South Station,Beacon Hill,1.5,45.5
Uber,Black SUV,Financial District,North End,1.23,27.5
Lyft,Lyft,Beacon Hill,South Station,2.49,10.5
Lyft,Lux Black,Theatre District,North End,1.6,19.5
Uber,UberX,Northeastern University,Financial District,7.46,15.5
Lyft,Lux Black,Haymarket Square,Theatre District,1.74,19.5
Uber,UberPool,Northeastern University,Theatre District,1.8,10.0
Uber,Black SUV,West End,Haymarket Square,0.62,26.0
Lyft,Lux Black XL,South Station,Theatre District,0.65,32.5
Lyft,Shared,West End,South Station,1.71,7.0
Uber,UberXL,Boston University,North Station,3.01,17.0
Uber,UberPool,North Station,Haymarket Square,0.49,6.5
Lyft,Shared,North Station,Northeastern University,3.26,7.0
Lyft,Lux Black XL,North Station,South Station,1.84,27.5
Lyft,Shared,Fenway,Back Bay,1.45,3.5
Uber,UberXL,Beacon Hill,North End,1.46,14.0
Uber,WAV,Back Bay,South Station,1.89,9.5
Uber,WAV,North End,Theatre District,1.57,7.0
Lyft,Lyft XL,Beacon Hill,Northeastern University,2.41,16.5
Uber,UberPool,West End,South Station,1.97,10.0
Lyft,Lux Black,Fenway,West End,2.99,26.0
Lyft,Lux Black,Financial District,Haymarket Square,1.0,16.5
Uber,Black,Northeastern University,Financial District,7.46,38.5
Uber,Black,South Station,Theatre District,0.55,15.0
Uber,UberX,Beacon Hill,North End,1.65,9.5
Uber,WAV,South Station,Theatre District,0.55,7.0
Uber,UberXL,Back Bay,Northeastern University,1.64,13.5
Lyft,Shared,North End,Back Bay,2.46,7.0
Uber,UberPool,North End,North Station,1.08,6.5
Lyft,Lyft,Haymarket Square,Financial District,1.02,7.0
Uber,Black,Back Bay,South Station,3.44,23.0
Lyft,Lyft XL,Back Bay,Haymarket Square,2.38,13.5
Uber,UberPool,Boston University,Beacon Hill,2.27,10.0
Uber,UberX,Haymarket Square,Beacon Hill,1.35,8.5
Lyft,Shared,West End,North End,1.24,5.0
Lyft,Lyft,Haymarket Square,West End,0.7,7.0
Lyft,Shared,Northeastern University,Theatre District,2.14,7.0
Uber,Black,North End,Beacon Hill,2.19,18.0
Uber,Black SUV,North Station,North End,0.92,26.5
Lyft,Lux Black,North End,Theatre District,1.7,19.5
Uber,UberX,Haymarket Square,Theatre District,1.61,8.0
Uber,Black,Financial District,Fenway,4.42,25.0
Lyft,Shared,Northeastern University,North Station,3.35,7.0
Uber,Black SUV,Beacon Hill,Northeastern University,2.61,32.5
Lyft,Shared,Boston University,North Station,3.17,9.0
Lyft,Shared,Back Bay,Fenway,1.44,5.0
Uber,WAV,Beacon Hill,Haymarket Square,1.36,8.0
Lyft,Lux Black,Fenway,Theatre District,3.2,26.0
Uber,UberX,Beacon Hill,South Station,2.58,10.5
Uber,UberXL,North Station,South Station,2.38,16.0
Uber,UberX,Financial District,Fenway,3.64,12.0
Uber,Black,North Station,Boston University,3.39,26.0
Uber,UberX,Boston University,Back Bay,0.03,7.0
Lyft,Lyft,Financial District,Boston University,4.73,13.5
Uber,WAV,Back Bay,North End,2.58,14.0
Lyft,Lux Black,Haymarket Square,Theatre District,1.73,19.5
Uber,UberX,Haymarket Square,Financial District,1.25,10.5
Uber,Black,Theatre District,Fenway,2.66,25.0
Uber,UberX,North Station,Boston University,3.39,11.5
Lyft,Lux Black,Haymarket Square,Back Bay,2.31,22.5
Uber,UberXL,West End,Northeastern University,2.86,16.0
Uber,Black SUV,Beacon Hill,Boston University,2.79,32.0
Uber,Black SUV,Back Bay,South Station,1.89,29.5
Uber,UberXL,North End,Theatre District,1.57,25.0
Uber,WAV,North End,Beacon Hill,1.35,8.0
Lyft,Lux Black XL,Boston University,Back Bay,1.46,26.0
Uber,UberX,North End,Financial District,1.21,8.5
Uber,WAV,Theatre District,North End,1.41,8.5
Uber,UberPool,Back Bay,North End,2.73,12.0
Lyft,Lyft XL,Northeastern University,Financial District,3.46,19.5
Uber,Black,Beacon Hill,Haymarket Square,0.91,15.0
Lyft,Lux Black XL,Haymarket Square,North Station,0.88,26.0
Uber,UberPool,West End,Northeastern University,2.86,8.5
Lyft,Lyft,West End,Haymarket Square,0.66,7.0
Lyft,Lyft XL,South Station,West End,1.71,13.5
Lyft,Shared,North Station,Haymarket Square,0.56,3.0
Lyft,Lux Black,Back Bay,Boston University,1.5,16.5
Uber,UberXL,Fenway,Beacon Hill,2.32,17.0
Uber,WAV,Boston University,Financial District,5.7,15.0
Lyft,Lux,Fenway,North Station,3.15,22.5
Uber,UberPool,North End,Financial District,1.21,7.5
Uber,UberPool,North Station,South Station,1.58,7.0
Lyft,Lyft,Back Bay,Fenway,1.49,7.0
Lyft,Shared,Haymarket Square,West End,0.76,5.0
Uber,UberXL,Financial District,Haymarket Square,1.0,11.0
Uber,WAV,Haymarket Square,Back Bay,2.32,10.5
Uber,UberPool,West End,Fenway,2.72,9.0
Uber,Black SUV,North End,Beacon Hill,1.87,26.0
Uber,UberPool,North End,Back Bay,2.33,10.0
Lyft,Lux,South Station,Financial District,0.46,10.5
Uber,UberXL,Northeastern University,North Station,3.3,17.5
Lyft,Lyft,Back Bay,Boston University,1.52,7.0
Lyft,Lux Black XL,North End,North Station,1.04,26.0
Lyft,Lux,Theatre District,Boston University,2.97,19.5
Lyft,Lux Black,Back Bay,Northeastern University,1.27,16.5
Lyft,Lux Black,North Station,Fenway,3.24,26.0
Lyft,Lux Black,North Station,Haymarket Square,0.56,16.5
Lyft,Lyft,South Station,Theatre District,0.58,9.0
Lyft,Lyft,Fenway,Theatre District,3.17,11.0
Lyft,Shared,Fenway,North Station,3.13,7.0
Uber,UberPool,Beacon Hill,North End,1.9,9.5
Uber,UberPool,Boston University,West End,2.8,12.0
Uber,UberX,Northeastern University,Back Bay,1.22,7.5
Lyft,Lux Black XL,West End,Northeastern University,2.83,38.5
Uber,WAV,West End,South Station,1.69,8.0
Lyft,Lyft XL,Boston University,Back Bay,1.48,13.5
Uber,Black,Northeastern University,Beacon Hill,2.56,23.0
Lyft,Shared,Theatre District,North End,1.74,7.0
Uber,Black SUV,Fenway,Theatre District,2.66,27.5
Lyft,Shared,Haymarket Square,Beacon Hill,1.28,3.0
Lyft,Lux Black XL,Beacon Hill,South Station,2.53,38.0
Lyft,Lyft,South Station,Beacon Hill,2.39,10.5
Uber,Black SUV,Back Bay,Haymarket Square,2.3,31.5
Uber,UberPool,North End,Theatre District,1.57,7.5
Uber,WAV,Theatre District,Fenway,2.38,10.5
Uber,Black,West End,Fenway,2.72,20.5
Uber,UberXL,Northeastern University,Beacon Hill,1.96,15.0
Uber,UberPool,Haymarket Square,Beacon Hill,1.35,8.5
Uber,UberX,Financial District,Boston University,4.72,13.5
Uber,UberX,Fenway,Financial District,4.48,11.5
Lyft,Lux Black,Beacon Hill,Fenway,2.4,22.5
Uber,WAV,Beacon Hill,Northeastern University,2.61,9.5
Uber,UberPool,North Station,Northeastern University,3.23,10.0
Lyft,Lyft XL,Northeastern University,Financial District,3.44,19.5
Lyft,Lux,Theatre District,Boston University,2.96,19.5
Uber,UberXL,Haymarket Square,North Station,0.56,10.5
Lyft,Lyft,Haymarket Square,West End,0.77,7.0
Lyft,Lux Black,Fenway,Financial District,4.59,32.5
Uber,UberXL,Boston University,Beacon Hill,2.27,15.0
Uber,Black SUV,Financial District,Fenway,4.4,40.5
Lyft,Shared,South Station,West End,1.49,5.0
Uber,UberXL,Beacon Hill,Fenway,2.46,14.0
Uber,WAV,Beacon Hill,Northeastern University,2.63,10.5
Uber,Black,Theatre District,Northeastern University,1.89,18.0
Lyft,Shared,Back Bay,Boston University,2.11,5.0
Uber,UberPool,Boston University,North Station,3.01,10.0
Uber,UberX,North Station,North End,1.03,7.0
Uber,UberPool,Back Bay,Northeastern University,1.64,7.5
Lyft,Lyft XL,South Station,Beacon Hill,1.52,13.5
Uber,UberX,South Station,Financial District,0.39,6.5
Uber,UberXL,Beacon Hill,Northeastern University,2.61,15.5
Lyft,Shared,Northeastern University,Beacon Hill,2.46,7.0
Lyft,Lyft,North End,Financial District,1.03,7.0
Lyft,Lyft XL,Northeastern University,Back Bay,1.03,11.0
Lyft,Lyft,Back Bay,Northeastern University,1.24,7.0
Lyft,Lyft,Back Bay,Haymarket Square,2.12,11.0
Uber,WAV,Back Bay,Haymarket Square,2.3,10.5
Lyft,Lyft XL,Fenway,Back Bay,1.4,13.5
Uber,Black SUV,Fenway,Back Bay,1.34,27.0
Lyft,Lux Black,Back Bay,South Station,3.25,27.5
Uber,WAV,West End,South Station,2.74,12.0
Uber,UberPool,Boston University,Financial District,4.44,11.0
Uber,Black,Haymarket Square,Back Bay,2.32,23.0
Uber,UberX,North End,Back Bay,3.19,10.5
Uber,UberX,Fenway,Beacon Hill,2.32,12.5
Lyft,Lux Black XL,Theatre District,Boston University,2.96,34.0
Uber,Black SUV,South Station,Theatre District,0.55,27.5
Uber,Black SUV,Back Bay,North End,3.61,36.5
Uber,UberXL,Boston University,North Station,3.01,18.5
Uber,Black,Back Bay,Boston University,1.51,16.0
Uber,Black SUV,South Station,North Station,1.92,28.5
Uber,UberXL,Boston University,Beacon Hill,2.27,15.0
Lyft,Lyft XL,North Station,Fenway,3.24,16.5
Uber,Black,South Station,West End,2.14,19.5
Uber,UberPool,South Station,Back Bay,3.45,9.0
Lyft,Lux,North End,Beacon Hill,2.03,16.5
Lyft,Shared,Boston University,Financial District,5.41,5.0
Uber,Black,North End,Back Bay,3.16,22.5
Lyft,Lyft,Beacon Hill,Fenway,2.43,9.0
Uber,WAV,Boston University,West End,2.8,10.5
Uber,Black,Back Bay,Northeastern University,1.64,15.0
Uber,UberXL,Haymarket Square,Back Bay,2.32,17.5
Uber,Black SUV,Northeastern University,Beacon Hill,1.97,28.5
Lyft,Lyft XL,North Station,Haymarket Square,0.53,9.0
Uber,Black SUV,Beacon Hill,Boston University,2.79,31.0
Uber,Black,Back Bay,Fenway,1.5,18.0
Uber,Black SUV,Boston University,North Station,3.01,30.5
Lyft,Lux Black,South Station,Theatre District,0.59,16.5
Uber,Black SUV,South Station,West End,2.14,27.5
Uber,Black SUV,Back Bay,Boston University,1.56,26.5
Uber,Black SUV,Beacon Hill,Northeastern University,2.59,27.5
Uber,Black,West End,Boston University,3.04,20.5
Uber,Black,West End,Fenway,2.72,20.5
Lyft,Lux Black,Northeastern University,West End,3.02,27.5
Uber,UberPool,North End,West End,1.23,12.0
Uber,UberX,Theatre District,Boston University,2.98,9.5
Uber,UberXL,Theatre District,North End,1.41,13.0
Lyft,Shared,Back Bay,Fenway,1.52,7.0
Uber,Black,North Station,Fenway,3.07,27.0
