price,location
110,Harlem
395,East Village
189,East Village
122,Harlem
130,Murray Hill
185,East Village
175,Nolita
259,Harlem
295,Harlem
165,Upper West Side
250,Lower East Side
95,East Village
55,Harlem
300,Harlem
175,East Village
150,Chelsea
200,Upper West Side
200,East Village
295,Harlem
198,Harlem
99,East Village
140,SoHo
75,Morningside Heights
75,Washington Heights
185,Upper West Side
190,East Village
65,Harlem
49,Harlem
400,Gramercy
100,East Village
429,Chelsea
189,Kips Bay
120,Lower East Side
300,Nolita
199,Harlem
120,East Harlem
199,West Village
99,Hell's Kitchen
169,Upper East Side
110,East Village
150,Hell's Kitchen
50,Washington Heights
149,Hell's Kitchen
68,Harlem
75,Harlem
95,Chinatown
150,Theater District
250,East Village
80,West Village
230,Theater District
300,Upper West Side
80,Harlem
100,Harlem
55,Harlem
146,East Village
150,Tribeca
199,Chelsea
288,East Village
225,West Village
110,Chinatown
89,East Village
135,East Harlem
145,East Harlem
179,Hell's Kitchen
110,Midtown
325,Harlem
130,West Village
190,Midtown
195,Kips Bay
200,West Village
71,Inwood
226,Chelsea
154,Lower East Side
700,West Village
850,Greenwich Village
140,Upper West Side
115,Chinatown
185,Upper West Side
495,Nolita
760,Chelsea
325,West Village
189,Upper East Side
101,Financial District
153,Lower East Side
300,West Village
88,East Village
155,Harlem
225,Upper West Side
85,Morningside Heights
109,Upper West Side
167,Upper West Side
195,Lower East Side
65,Financial District
99,East Harlem
130,Harlem
350,Chelsea
250,East Village
150,Greenwich Village
99,Harlem
85,Harlem
139,East Village
50,East Harlem
130,Harlem
90,Chinatown
175,Hell's Kitchen
240,West Village
219,East Village
139,Chinatown
209,Upper West Side
90,West Village
150,Upper West Side
300,Upper West Side
250,SoHo
140,Harlem
90,East Harlem
150,Upper West Side
75,Harlem
75,Harlem
109,Upper West Side
86,East Harlem
99,Lower East Side
89,East Village
199,West Village
110,Harlem
135,Harlem
120,West Village
219,Upper East Side
159,Upper East Side
106,Kips Bay
299,Midtown
179,Upper West Side
87,Inwood
75,Hell's Kitchen
80,Harlem
125,Harlem
95,Hell's Kitchen
121,Upper East Side
75,Harlem
95,Hell's Kitchen
189,East Village
265,Chelsea
60,Upper East Side
129,Chinatown
199,East Village
110,Midtown
135,Midtown
549,East Village
200,Hell's Kitchen
180,Harlem
100,Inwood
105,Upper East Side
165,Harlem
99,Washington Heights
125,Gramercy
104,Hell's Kitchen
225,Financial District
135,Harlem
90,Lower East Side
300,Upper East Side
125,East Harlem
145,Midtown
147,East Village
225,SoHo
269,Nolita
100,East Harlem
225,Nolita
275,Midtown
125,East Village
200,Lower East Side
99,Hell's Kitchen
325,Midtown
275,Washington Heights
208,Financial District
110,East Village
58,Harlem
395,Upper West Side
90,Upper West Side
94,Harlem
250,Upper West Side
225,Lower East Side
239,East Village
50,Inwood
174,West Village
75,Harlem
210,East Village
150,Upper East Side
129,Kips Bay
100,Harlem
311,Lower East Side
100,West Village
210,Lower East Side
89,Morningside Heights
89,East Village
89,East Village
99,East Village
85,Harlem
80,Two Bridges
135,Kips Bay
125,Lower East Side
328,Civic Center
185,East Village
80,East Harlem
165,Chinatown
150,Chinatown
499,SoHo
220,East Village
79,Harlem
99,Upper West Side
198,SoHo
130,West Village
104,Lower East Side
72,East Village
150,East Village
185,Upper West Side
200,Chelsea
82,Upper East Side
90,Harlem
170,Chelsea
118,East Village
135,Chelsea
265,Flatiron District
220,Harlem
93,Upper West Side
295,Greenwich Village
300,Nolita
99,East Village
225,Chelsea
102,Upper West Side
195,East Village
170,Washington Heights
185,Harlem
58,Little Italy
88,East Village
195,Hell's Kitchen
79,Greenwich Village
500,Financial District
160,Upper East Side
210,Upper West Side
300,Lower East Side
220,Harlem
120,Inwood
99,East Village
295,East Village
125,Chelsea
190,Hell's Kitchen
76,Upper West Side
107,East Village
151,East Village
79,Harlem
120,Upper West Side
96,Chinatown
75,East Harlem
120,Hell's Kitchen
215,Greenwich Village
200,West Village
199,SoHo
75,Harlem
125,SoHo
165,Murray Hill
55,Inwood
55,Inwood
275,Chelsea
249,Hell's Kitchen
120,East Harlem
199,East Village
125,Upper West Side
80,Harlem
136,Harlem
165,East Village
148,Hell's Kitchen
80,Upper East Side
225,Greenwich Village
200,East Village
65,East Harlem
60,Inwood
433,Harlem
79,Harlem
140,Hell's Kitchen
250,Nolita
234,NoHo
65,Gramercy
595,SoHo
109,Gramercy
349,Upper West Side
160,Hell's Kitchen
149,Chinatown
285,Midtown
150,West Village
79,Upper East Side
197,Upper West Side
127,Gramercy
110,East Harlem
113,Upper West Side
295,Kips Bay
108,East Harlem
141,Upper East Side
88,West Village
65,Kips Bay
95,Upper West Side
92,East Harlem
179,West Village
55,Harlem
129,Murray Hill
250,Upper East Side
95,East Village
165,Upper West Side
105,East Village
73,East Village
100,Upper West Side
75,Hell's Kitchen
55,Inwood
95,Nolita
230,SoHo
900,Upper West Side
399,East Village
299,Harlem
100,Upper West Side
175,Lower East Side
240,East Village
495,West Village
144,East Village
169,Lower East Side
95,Harlem
375,Flatiron District
70,Harlem
80,Harlem
200,Upper East Side
65,Harlem
106,Midtown
249,East Village
75,East Village
210,Tribeca
199,Nolita
125,Nolita
170,Midtown
199,Little Italy
155,Chelsea
120,Gramercy
179,East Village
99,Upper West Side
400,Chinatown
500,SoHo
95,East Village
80,Upper West Side
133,Midtown
155,Upper East Side
105,Chelsea
100,Upper West Side
165,Hell's Kitchen
120,East Harlem
85,Upper East Side
59,East Village
280,Harlem
140,West Village
200,Upper West Side
189,West Village
190,West Village
69,Lower East Side
160,West Village
85,Washington Heights
225,Harlem
210,West Village
250,East Village
159,Lower East Side
210,Upper West Side
75,East Village
105,Upper East Side
130,Gramercy
115,Harlem
116,Kips Bay
158,Lower East Side
85,Harlem
465,NoHo
195,Chinatown
36,Washington Heights
95,East Harlem
225,Lower East Side
81,Upper East Side
199,East Village
135,Harlem
290,Greenwich Village
148,Kips Bay
60,Harlem
60,Harlem
45,East Harlem
60,Harlem
60,Harlem
179,Chelsea
80,Harlem
65,Harlem
69,Lower East Side
135,Upper East Side
120,Greenwich Village
69,Harlem
65,Chelsea
130,Gramercy
130,Washington Heights
79,East Village
175,Upper West Side
40,Washington Heights
99,Lower East Side
240,Chelsea
495,East Village
109,Chelsea
175,Lower East Side
150,Chinatown
80,Washington Heights
260,Lower East Side
145,Lower East Side
300,Upper West Side
131,Upper West Side
160,Upper East Side
235,West Village
120,Greenwich Village
99,Washington Heights
195,Greenwich Village
100,Civic Center
62,Harlem
88,Upper West Side
125,Harlem
176,Hell's Kitchen
51,East Harlem
200,Chelsea
100,East Harlem
125,East Harlem
150,Washington Heights
125,Upper West Side
90,Harlem
65,Harlem
113,West Village
108,Morningside Heights
165,Harlem
110,Hell's Kitchen
339,Upper West Side
60,East Harlem
49,Harlem
2500,East Village
170,Harlem
150,West Village
49,Harlem
49,Harlem
170,Upper West Side
105,Morningside Heights
145,East Village
225,Greenwich Village
250,Chelsea
125,Chelsea
399,Hell's Kitchen
75,Washington Heights
190,Upper West Side
200,Upper West Side
295,East Village
160,Chinatown
230,Upper East Side
118,Murray Hill
85,Hell's Kitchen
55,Harlem
140,Harlem
179,Hell's Kitchen
200,West Village
100,East Village
50,Upper East Side
235,SoHo
250,West Village
100,Upper West Side
87,Chinatown
100,Harlem
190,Upper West Side
159,East Village
91,East Village
200,East Village
169,Upper West Side
249,West Village
199,East Village
135,Harlem
165,East Harlem
170,Harlem
65,East Harlem
420,East Village
97,Harlem
191,Upper West Side
187,Upper West Side
950,West Village
130,SoHo
575,Tribeca
300,West Village
56,East Harlem
191,Upper East Side
75,Harlem
52,Harlem
499,East Village
60,East Village
95,East Village
100,Upper East Side
1000,Tribeca
499,Chelsea
45,Harlem
195,Harlem
95,Harlem
120,East Harlem
42,Inwood
425,Upper East Side
150,Midtown
199,Upper East Side
110,East Harlem
120,Lower East Side
145,Midtown
100,SoHo
50,Harlem
70,Chelsea
58,East Harlem
131,Gramercy
250,Gramercy
149,Nolita
185,Theater District
300,Chelsea
176,Chelsea
40,Washington Heights
75,East Harlem
85,Harlem
240,Kips Bay
160,Chelsea
250,Gramercy
650,Kips Bay
158,Harlem
85,Chinatown
89,Nolita
45,Washington Heights
125,East Village
140,Lower East Side
47,Harlem
115,Lower East Side
199,East Village
110,Harlem
133,Harlem
175,Chelsea
90,Chelsea
115,Midtown
109,East Village
64,West Village
47,East Harlem
48,Washington Heights
100,East Harlem
129,East Village
94,Harlem
200,East Village
89,East Harlem
80,Washington Heights
100,Nolita
225,Greenwich Village
80,Midtown
125,Harlem
130,Lower East Side
125,Chelsea
199,Hell's Kitchen
85,Upper West Side
85,Upper West Side
79,East Harlem
285,Tribeca
190,Upper East Side
125,East Village
148,East Village
120,East Village
200,Midtown
240,Hell's Kitchen
53,East Harlem
290,Tribeca
200,Hell's Kitchen
135,Upper East Side
95,Upper West Side
125,Upper East Side
300,Harlem
95,Harlem
595,Chelsea
150,East Harlem
150,Greenwich Village
119,Chelsea
140,Upper West Side
145,Harlem
150,Upper West Side
399,Hell's Kitchen
465,East Village
235,Upper East Side
300,East Village
145,Kips Bay
95,Lower East Side
350,Midtown
250,Little Italy
93,Chelsea
93,Chelsea
199,Chelsea
169,Upper East Side
61,Harlem
190,Harlem
185,Harlem
85,Harlem
75,Morningside Heights
280,Upper East Side
210,East Village
199,East Village
219,Midtown
105,Nolita
265,SoHo
120,East Village
111,Upper East Side
90,SoHo
89,Upper West Side
260,East Village
200,SoHo
120,East Harlem
120,Washington Heights
210,West Village
95,East Village
99,Hell's Kitchen
99,Upper West Side
160,Lower East Side
65,Harlem
125,Harlem
112,Hell's Kitchen
140,East Village
220,West Village
55,East Harlem
175,Harlem
169,Theater District
60,Harlem
150,Upper West Side
99,Theater District
73,East Village
179,Chinatown
98,Chelsea
49,Lower East Side
96,Chelsea
100,Harlem
80,SoHo
100,Harlem
220,East Harlem
159,Upper East Side
299,Lower East Side
140,Chelsea
138,Washington Heights
69,East Harlem
269,West Village
121,Upper West Side
89,East Village
135,Harlem
175,Lower East Side
156,East Village
104,Upper West Side
80,Nolita
550,Upper West Side
199,East Village
100,East Village
99,Harlem
125,East Harlem
155,Harlem
300,Chinatown
120,Upper East Side
240,Greenwich Village
72,Washington Heights
100,West Village
175,Midtown
200,East Village
420,Financial District
99,Hell's Kitchen
85,Harlem
69,Harlem
79,Washington Heights
194,SoHo
150,Lower East Side
80,Harlem
155,Upper East Side
140,Upper East Side
150,Upper East Side
380,Greenwich Village
125,Morningside Heights
80,Hell's Kitchen
139,West Village
226,Greenwich Village
195,West Village
275,SoHo
250,Hell's Kitchen
150,Hell's Kitchen
195,Hell's Kitchen
350,Hell's Kitchen
90,East Harlem
110,Harlem
71,Harlem
75,East Harlem
60,Harlem
200,Chelsea
100,Hell's Kitchen
120,Lower East Side
76,Chelsea
80,Washington Heights
96,Lower East Side
185,Nolita
99,Financial District
59,East Harlem
119,Midtown
439,Upper West Side
99,Upper East Side
180,Two Bridges
300,Lower East Side
123,Upper East Side
200,Hell's Kitchen
109,Hell's Kitchen
555,Chelsea
87,East Harlem
199,Upper East Side
400,Upper West Side
200,Chelsea
100,East Harlem
225,Upper East Side
179,East Village
90,Chelsea
80,Hell's Kitchen
110,East Village
200,Harlem
390,Upper West Side
55,Battery Park City
150,Harlem
100,Lower East Side
60,Harlem
175,Upper West Side
100,Morningside Heights
199,West Village
60,Harlem
455,NoHo
420,East Village
195,Gramercy
65,Harlem
400,Gramercy
149,Harlem
92,Chelsea
118,Kips Bay
215,Midtown
103,East Village
240,Tribeca
150,Harlem
95,East Village
90,Hell's Kitchen
44,Washington Heights
525,Hell's Kitchen
600,Upper East Side
200,Hell's Kitchen
199,Gramercy
85,Upper East Side
195,Murray Hill
173,Greenwich Village
130,Midtown
125,Hell's Kitchen
160,Hell's Kitchen
84,Chelsea
99,Upper East Side
249,Gramercy
75,Chelsea
228,Lower East Side
140,Harlem
45,Harlem
195,Lower East Side
60,Harlem
140,Hell's Kitchen
45,Harlem
249,Lower East Side
174,Harlem
295,East Village
52,Harlem
85,East Harlem
90,Harlem
200,Little Italy
130,Upper West Side
150,East Village
195,Kips Bay
220,Lower East Side
99,Hell's Kitchen
150,Upper West Side
106,SoHo
250,Harlem
189,Chelsea
120,East Village
480,East Village
142,East Village
80,Upper West Side
87,Upper West Side
450,East Village
175,Harlem
86,East Harlem
345,Midtown
250,Hell's Kitchen
90,Upper East Side
225,Inwood
162,SoHo
117,Chinatown
189,Lower East Side
115,Inwood
300,East Village
39,Harlem
105,Upper West Side
115,Harlem
95,Harlem
140,East Village
80,Upper East Side
395,Midtown
98,Lower East Side
125,Upper East Side
199,Upper West Side
69,East Village
106,Midtown
45,Harlem
199,Chelsea
175,Murray Hill
150,Upper West Side
109,East Village
239,West Village
220,Chelsea
135,Upper East Side
150,Upper East Side
150,Upper West Side
195,Gramercy
55,Harlem
100,Washington Heights
80,Harlem
180,Hell's Kitchen
180,Hell's Kitchen
62,Washington Heights
93,Harlem
85,Upper East Side
135,Hell's Kitchen
97,Midtown
130,Hell's Kitchen
190,East Village
100,Upper East Side
340,Upper West Side
112,Harlem
165,Harlem
49,Harlem
225,East Village
80,Washington Heights
90,Washington Heights
208,NoHo
156,West Village
160,Chinatown
110,West Village
150,Kips Bay
149,Upper West Side
250,Lower East Side
99,Upper West Side
165,West Village
285,Chelsea
220,Upper East Side
119,Greenwich Village
105,Kips Bay
89,Upper West Side
130,Upper East Side
289,Greenwich Village
221,Chelsea
112,East Village
81,Harlem
90,Hell's Kitchen
350,Upper West Side
250,Midtown
100,West Village
110,Murray Hill
75,Upper East Side
220,Lower East Side
150,Chelsea
199,Harlem
200,Upper West Side
115,East Harlem
135,West Village
180,Lower East Side
40,Washington Heights
85,Harlem
150,SoHo
200,Hell's Kitchen
195,East Harlem
98,Harlem
185,Upper East Side
115,Lower East Side
124,Hell's Kitchen
159,Chelsea
112,Washington Heights
195,Upper West Side
65,Two Bridges
279,Greenwich Village
84,East Village
150,Hell's Kitchen
133,Lower East Side
72,Harlem
200,Upper West Side
92,Harlem
175,Harlem
400,SoHo
169,Financial District
180,Lower East Side
84,Upper East Side
100,Harlem
145,Nolita
149,Hell's Kitchen
124,Harlem
150,Nolita
109,Hell's Kitchen
75,East Village
68,Harlem
104,Harlem
90,East Village
199,Upper West Side
85,Harlem
103,Upper East Side
117,Upper East Side
80,Upper West Side
70,Harlem
290,Harlem
105,Lower East Side
200,Gramercy
160,East Village
100,Two Bridges
80,East Village
425,Upper West Side
109,Upper West Side
140,Midtown
105,Harlem
100,Midtown
85,Washington Heights
99,Hell's Kitchen
99,Harlem
85,Harlem
90,Harlem
175,Harlem
200,Hell's Kitchen
200,East Village
95,Lower East Side
59,Washington Heights
85,Chelsea
78,Midtown
150,East Village
70,Upper West Side
68,Harlem
110,Harlem
218,Chelsea
430,Nolita
120,West Village
300,West Village
53,Washington Heights
105,Upper East Side
39,Washington Heights
200,Midtown
150,Greenwich Village
299,Upper West Side
45,Washington Heights
650,East Harlem
111,Harlem
109,Upper West Side
72,Washington Heights
119,Upper East Side
75,Harlem
125,Morningside Heights
385,West Village
113,East Village
110,Midtown
250,SoHo
130,West Village
240,East Harlem
120,Greenwich Village
100,Harlem
60,Washington Heights
250,Hell's Kitchen
290,Harlem
115,Washington Heights
120,Hell's Kitchen
68,Hell's Kitchen
235,Chelsea
155,East Village
95,East Harlem
125,Chinatown
80,Harlem
110,Upper West Side
39,Washington Heights
249,East Village
77,Lower East Side
300,Upper West Side
40,Washington Heights
115,Nolita
93,Chelsea
200,East Village
103,Upper East Side
320,Nolita
950,East Village
100,Hell's Kitchen
120,Upper East Side
150,Harlem
250,Upper East Side
147,Upper East Side
275,Chelsea
175,Harlem
345,Harlem
120,Upper West Side
89,Lower East Side
85,East Village
125,Midtown
45,East Harlem
150,Harlem
60,Kips Bay
89,East Harlem
200,Upper East Side
80,Harlem
16,Upper East Side
250,Kips Bay
140,Upper East Side
90,Chelsea
200,West Village
80,Harlem
166,West Village
165,Chelsea
250,Nolita
275,Gramercy
189,East Village
145,Harlem
100,East Harlem
785,Chinatown
90,Upper West Side
93,Chelsea
300,West Village
125,Midtown
80,Washington Heights
185,Upper East Side
150,Lower East Side
165,Kips Bay
69,Washington Heights
69,East Harlem
54,Harlem
50,Washington Heights
51,Washington Heights
135,East Harlem
95,Harlem
39,Washington Heights
349,Chelsea
290,East Village
146,Lower East Side
180,SoHo
122,East Village
400,Upper East Side
99,Upper East Side
225,Greenwich Village
215,Harlem
115,Harlem
95,Upper East Side
197,Lower East Side
225,Upper West Side
199,Upper West Side
299,East Harlem
69,Lower East Side
146,Morningside Heights
85,Chelsea
90,Harlem
87,Kips Bay
129,Harlem
159,East Village
249,West Village
135,Harlem
151,Lower East Side
600,Tribeca
273,Lower East Side
70,Harlem
110,West Village
69,Harlem
150,Lower East Side
130,East Village
95,Harlem
200,West Village
200,Hell's Kitchen
365,East Village
220,Gramercy
100,East Harlem
230,Chelsea
140,Harlem
200,West Village
148,Midtown
145,Washington Heights
120,Kips Bay
59,Washington Heights
150,Gramercy
65,Harlem
65,East Village
50,East Harlem
104,Lower East Side
199,Hell's Kitchen
150,Morningside Heights
95,Chelsea
160,Upper East Side
110,Hell's Kitchen
69,Hell's Kitchen
175,Upper East Side
191,Nolita
118,Upper East Side
95,Midtown
99,Upper East Side
70,Washington Heights
200,Upper West Side
197,West Village
180,Gramercy
73,Upper East Side
87,Upper East Side
74,Upper East Side
199,Greenwich Village
72,East Harlem
129,East Village
125,Hell's Kitchen
82,Upper East Side
71,Upper East Side
390,Chelsea
80,East Harlem
69,Gramercy
85,Morningside Heights
219,West Village
110,Hell's Kitchen
150,East Harlem
85,Morningside Heights
95,Upper East Side
95,Lower East Side
120,Harlem
115,Harlem
170,Greenwich Village
99,Upper West Side
72,Harlem
39,Inwood
200,East Village
200,West Village
260,East Village
99,Hell's Kitchen
68,Harlem
87,Hell's Kitchen
87,Murray Hill
150,Hell's Kitchen
120,Harlem
325,Upper West Side
125,Harlem
265,West Village
249,Upper West Side
120,Harlem
149,SoHo
200,Greenwich Village
105,Washington Heights
98,Upper West Side
87,Upper West Side
150,Midtown
225,Lower East Side
145,East Village
250,East Village
168,Upper West Side
95,East Harlem
195,Upper West Side
129,East Village
120,Gramercy
150,Upper West Side
145,Harlem
90,East Harlem
95,Chelsea
225,Upper West Side
130,Theater District
95,Kips Bay
189,Theater District
160,Upper West Side
39,Harlem
100,Upper West Side
129,East Village
90,East Harlem
140,Greenwich Village
170,East Village
88,Harlem
75,Harlem
75,Upper West Side
170,East Village
300,Chelsea
95,Little Italy
55,East Harlem
129,Harlem
75,Washington Heights
59,Theater District
111,East Village
119,East Village
135,SoHo
125,Roosevelt Island
383,Hell's Kitchen
45,East Harlem
199,SoHo
99,Inwood
105,Upper East Side
120,SoHo
130,Harlem
72,Lower East Side
65,East Village
75,East Harlem
145,Hell's Kitchen
175,Murray Hill
175,Chelsea
70,Harlem
200,Lower East Side
419,Upper West Side
115,Chelsea
135,Harlem
103,Hell's Kitchen
99,East Harlem
90,Upper East Side
131,Harlem
150,Lower East Side
145,West Village
86,Harlem
139,Upper East Side
92,Upper East Side
40,Lower East Side
110,Harlem
159,Chelsea
88,Upper West Side
280,East Village
96,East Village
98,Financial District
175,West Village
89,Morningside Heights
150,Harlem
149,Harlem
100,East Harlem
112,Upper West Side
200,East Harlem
1000,Harlem
310,Harlem
75,Midtown
165,Lower East Side
180,Lower East Side
200,Kips Bay
160,Chelsea
140,Lower East Side
190,Greenwich Village
145,Upper East Side
259,Hell's Kitchen
75,East Harlem
199,Chelsea
125,Hell's Kitchen
100,Upper East Side
149,East Village
128,East Village
110,East Village
650,Chelsea
133,Harlem
200,Upper West Side
94,Harlem
57,Harlem
107,Morningside Heights
64,Gramercy
146,Upper East Side
120,East Harlem
198,East Village
230,East Village
180,Lower East Side
89,Hell's Kitchen
115,East Harlem
109,Lower East Side
79,East Harlem
97,Upper West Side
200,Upper West Side
90,Harlem
290,Washington Heights
70,Chelsea
105,Nolita
360,Chelsea
165,Harlem
100,East Village
229,Harlem
99,Lower East Side
180,Harlem
115,Harlem
159,West Village
92,East Harlem
345,Chelsea
300,Harlem
699,Theater District
195,Hell's Kitchen
165,East Harlem
65,East Harlem
149,Harlem
495,SoHo
69,Upper East Side
71,Harlem
199,Upper West Side
300,Harlem
130,Upper West Side
275,Upper East Side
150,Chelsea
148,Upper West Side
299,Upper West Side
97,Harlem
120,Lower East Side
200,East Village
80,Washington Heights
220,Upper East Side
75,Washington Heights
120,Upper West Side
55,Upper West Side
150,Upper East Side
69,Harlem
90,Inwood
125,Hell's Kitchen
215,Hell's Kitchen
89,Lower East Side
160,Morningside Heights
299,East Village
239,Lower East Side
76,Inwood
260,East Harlem
1500,East Village
150,Hell's Kitchen
110,Upper East Side
155,Harlem
300,Upper East Side
129,Upper West Side
272,Hell's Kitchen
85,Harlem
260,Upper West Side
185,Gramercy
399,Chinatown
147,East Harlem
90,Financial District
105,Harlem
107,Harlem
84,Harlem
129,Hell's Kitchen
65,Harlem
140,Chinatown
325,Upper East Side
89,Hell's Kitchen
160,Upper East Side
109,Lower East Side
189,Chinatown
80,Washington Heights
230,East Village
450,Harlem
895,SoHo
70,Harlem
275,Harlem
125,West Village
99,Upper East Side
199,West Village
70,Harlem
112,Upper East Side
250,Lower East Side
200,East Harlem
120,East Village
99,Upper East Side
120,Harlem
170,Chinatown
125,Harlem
150,Upper West Side
93,Upper West Side
130,Midtown
100,Harlem
258,West Village
145,West Village
155,Two Bridges
75,East Harlem
90,Harlem
199,Gramercy
70,Washington Heights
200,Upper East Side
220,Midtown
73,East Harlem
52,East Harlem
198,Gramercy
185,Upper East Side
49,Hell's Kitchen
250,Upper West Side
65,Hell's Kitchen
125,East Village
59,East Harlem
105,Harlem
85,Washington Heights
175,Hell's Kitchen
80,Harlem
149,Upper West Side
85,Midtown
85,Upper West Side
129,Upper West Side
99,Upper East Side
40,Washington Heights
35,Upper West Side
169,Upper East Side
99,Harlem
80,Harlem
85,Upper West Side
81,East Harlem
90,Upper West Side
255,Upper West Side
90,Upper West Side
94,Upper East Side
150,Nolita
105,East Harlem
100,Lower East Side
159,West Village
120,Greenwich Village
130,Upper West Side
150,Harlem
250,Upper East Side
125,Upper West Side
99,Hell's Kitchen
50,East Harlem
99,Midtown
150,Lower East Side
59,Lower East Side
89,Harlem
123,Upper West Side
180,Lower East Side
99,Upper West Side
300,Lower East Side
87,East Village
100,Hell's Kitchen
84,East Harlem
69,Lower East Side
170,Harlem
95,Harlem
120,East Harlem
84,East Harlem
135,Midtown
150,Upper East Side
100,Upper East Side
150,Upper East Side
169,Upper East Side
85,Harlem
350,Tribeca
125,Upper West Side
229,East Harlem
250,Upper West Side
105,Upper West Side
65,Roosevelt Island
75,Harlem
69,Hell's Kitchen
150,Chinatown
125,Gramercy
795,Upper West Side
80,Harlem
135,East Village
80,Chinatown
249,Upper East Side
155,Upper East Side
150,East Harlem
80,Washington Heights
77,Washington Heights
165,Upper West Side
139,East Village
250,Hell's Kitchen
177,Harlem
125,Upper East Side
165,Upper West Side
99,Upper East Side
83,Harlem
150,Hell's Kitchen
135,Upper West Side
150,Hell's Kitchen
61,East Harlem
185,East Village
117,Harlem
65,Harlem
45,Harlem
199,Hell's Kitchen
195,Upper East Side
63,Harlem
58,Harlem
145,East Village
99,Upper East Side
85,East Village
150,Harlem
89,Harlem
55,Midtown
249,East Harlem
289,Midtown
75,Upper East Side
135,Hell's Kitchen
50,Harlem
150,East Village
95,Upper East Side
130,Upper West Side
125,Upper West Side
196,Kips Bay
175,East Harlem
65,Gramercy
190,East Harlem
124,Financial District
160,East Village
159,Gramercy
199,Chelsea
54,East Harlem
250,SoHo
200,Midtown
99,Upper East Side
250,West Village
170,Hell's Kitchen
250,Harlem
71,Lower East Side
89,Upper East Side
70,East Harlem
130,East Village
185,Harlem
100,East Village
134,Kips Bay
115,Upper East Side
200,Upper West Side
825,Harlem
250,East Village
136,Greenwich Village
103,East Harlem
200,Theater District
145,Hell's Kitchen
524,Midtown
72,Washington Heights
250,Hell's Kitchen
160,Hell's Kitchen
80,East Harlem
75,Washington Heights
62,Chinatown
750,Tribeca
150,SoHo
140,Upper West Side
250,Upper West Side
99,Gramercy
95,Hell's Kitchen
59,Washington Heights
146,Upper West Side
160,East Village
220,West Village
125,East Village
110,Upper West Side
60,Harlem
81,Lower East Side
400,Nolita
110,Chinatown
89,East Village
75,East Village
475,Financial District
230,Chelsea
182,Midtown
80,Lower East Side
100,Harlem
82,Washington Heights
159,Upper East Side
195,Upper East Side
160,East Harlem
195,Upper East Side
275,Upper West Side
125,East Village
165,Chelsea
129,Hell's Kitchen
90,Harlem
62,Harlem
75,Washington Heights
250,Chelsea
165,Upper East Side
240,Upper West Side
70,Financial District
200,Upper West Side
244,Upper West Side
149,Chinatown
96,East Harlem
150,Kips Bay
350,Harlem
110,Lower East Side
245,SoHo
65,Harlem
68,Upper West Side
195,Hell's Kitchen
150,Upper West Side
100,East Harlem
50,East Harlem
70,Morningside Heights
100,Upper East Side
125,Lower East Side
65,Harlem
280,Nolita
120,Harlem
140,Upper East Side
116,Harlem
215,Chinatown
75,East Harlem
165,Upper East Side
125,Lower East Side
125,Lower East Side
146,Harlem
200,Hell's Kitchen
209,Gramercy
300,Harlem
105,Chelsea
450,Upper East Side
185,Upper West Side
285,Harlem
80,East Harlem
1200,Upper East Side
499,East Village
140,East Village
140,Washington Heights
65,Washington Heights
85,Harlem
155,Morningside Heights
80,West Village
95,Washington Heights
163,East Village
65,Washington Heights
109,Upper East Side
