carat,cut,color,clarity,price,x,y,z
1.01,Very Good,E,VS2,5760,6.5,6.56,3.87
1.08,Very Good,D,VS1,9168,6.61,6.67,4.0
0.34,Ideal,H,SI1,628,4.48,4.46,2.8
1.03,Premium,J,SI2,3634,6.48,6.41,4.05
0.53,Ideal,G,VVS1,2005,5.18,5.2,3.21
1.08,Good,E,SI1,5096,6.49,6.53,4.11
0.31,Good,G,VS2,531,4.24,4.29,2.75
0.3,Ideal,I,VVS1,552,4.3,4.32,2.69
0.34,Ideal,H,SI1,508,4.52,4.55,2.77
1.16,Ideal,G,SI2,5078,6.78,6.8,4.18
0.32,Ideal,G,VVS2,730,4.42,4.45,2.71
0.4,Good,D,SI1,720,4.67,4.7,2.98
1.18,Ideal,F,VS2,7560,6.82,6.77,4.21
1.02,Good,E,VS1,7602,6.33,6.38,4.06
0.34,Ideal,H,VS2,537,4.48,4.53,2.8
1.02,Premium,H,VS2,5008,6.52,6.55,3.95
1.32,Very Good,G,SI2,7173,6.98,7.05,4.32
0.53,Ideal,E,SI2,1262,5.16,5.13,3.24
0.41,Ideal,F,VS2,1107,4.78,4.74,2.9
2.13,Ideal,H,SI2,15288,8.21,8.25,5.09
0.51,Premium,D,SI1,1687,5.14,5.12,3.16
1.0,Good,E,SI1,4936,6.35,6.4,3.98
1.71,Premium,H,VS1,10457,7.63,7.55,4.71
0.45,Premium,J,SI2,720,4.95,4.9,3.05
2.42,Premium,J,VS2,17168,8.61,8.58,5.27
1.11,Ideal,F,VVS1,12956,6.7,6.74,4.01
2.27,Ideal,I,SI2,15710,8.36,8.39,5.28
1.5,Premium,F,VS1,14918,7.31,7.26,4.56
0.7,Good,E,VS1,3148,5.79,5.83,3.41
0.31,Good,G,VVS2,707,4.26,4.32,2.71
0.4,Ideal,H,SI2,540,4.7,4.72,2.95
2.02,Good,F,SI2,12615,8.31,8.25,4.73
0.9,Very Good,E,SI1,4463,6.19,6.25,3.83
0.31,Ideal,G,VVS1,789,4.38,4.41,2.72
0.7,Good,E,SI1,2696,5.73,5.76,3.47
1.54,Good,I,SI2,5989,7.63,7.5,4.38
1.0,Ideal,J,VS1,4144,6.43,6.38,3.99
0.57,Very Good,G,VS2,1633,5.43,5.46,3.26
0.71,Ideal,D,VS2,4029,5.72,5.76,3.51
1.32,Ideal,D,VVS2,15802,7.16,7.23,4.27
1.0,Premium,G,VS1,6462,6.49,6.38,3.94
0.27,Premium,E,VVS2,752,4.18,4.14,2.57
0.71,Very Good,E,VS2,2804,5.66,5.68,3.63
0.34,Very Good,E,SI2,477,4.45,4.48,2.81
0.7,Ideal,F,VS1,2998,5.7,5.73,3.52
0.24,Ideal,I,VVS1,432,3.98,3.95,2.47
0.3,Ideal,G,VS2,675,4.3,4.27,2.7
0.41,Very Good,E,SI1,705,4.76,4.83,2.93
0.72,Premium,E,SI2,2376,5.74,5.68,3.59
1.19,Ideal,G,VVS1,10508,6.78,6.79,4.18
0.77,Premium,E,VS2,3234,5.98,5.92,3.6
1.07,Premium,E,VS2,6232,6.6,6.53,4.1
0.54,Ideal,G,VS2,1580,5.22,5.27,3.25
0.92,Premium,H,SI1,3618,6.21,6.27,3.87
0.42,Premium,F,VS2,884,4.76,4.8,2.96
2.05,Very Good,H,SI2,15949,8.1,8.15,5.07
0.24,Very Good,E,VVS2,485,3.96,4.0,2.53
0.7,Very Good,I,VS1,2411,5.67,5.59,3.55
0.38,Premium,I,VS2,633,4.6,4.64,2.85
0.38,Ideal,F,VS2,870,4.65,4.69,2.91
1.36,Ideal,G,VS1,10455,7.13,7.11,4.34
1.2,Very Good,H,I1,3696,6.96,7.01,4.09
0.71,Premium,H,SI1,2049,5.65,5.61,3.51
0.9,Very Good,G,VS2,4543,6.09,6.16,3.84
0.31,Ideal,F,IF,979,4.32,4.36,2.69
1.11,Ideal,H,SI1,5358,6.65,6.69,4.11
0.76,Ideal,G,SI2,2143,5.88,5.84,3.64
0.46,Very Good,G,VS2,1172,4.98,5.0,3.06
1.32,Ideal,I,VS1,7617,7.12,7.06,4.34
0.41,Very Good,D,VS1,1018,4.72,4.79,2.96
0.57,Very Good,G,VS2,1608,5.26,5.31,3.31
0.51,Very Good,E,VVS1,2369,5.19,5.2,3.1
1.01,Very Good,G,SI1,4719,6.51,6.55,3.92
0.3,Good,G,VS1,776,4.31,4.25,2.72
0.43,Premium,G,VVS1,1264,4.83,4.77,2.99
0.33,Premium,G,SI2,557,4.52,4.5,2.68
2.07,Fair,D,SI2,13016,7.99,7.88,5.12
0.91,Very Good,E,SI1,4188,6.13,6.17,3.92
0.41,Premium,E,SI1,969,4.81,4.77,2.94
0.3,Ideal,G,VS2,503,4.29,4.32,2.67
0.5,Very Good,D,SI2,1306,5.14,5.16,3.13
0.7,Good,E,SI2,2239,5.89,5.85,3.39
0.62,Premium,G,I1,933,5.65,5.54,3.29
0.27,Ideal,F,IF,796,4.16,4.19,2.58
0.55,Ideal,I,VS2,1216,5.28,5.36,3.26
0.72,Very Good,E,SI2,2608,5.66,5.64,3.58
1.3,Premium,G,VVS1,11061,7.01,7.05,4.25
0.3,Premium,H,VS1,526,4.29,4.32,2.64
1.57,Ideal,I,VS2,10964,7.55,7.59,4.57
0.7,Ideal,D,SI1,3454,5.7,5.72,3.53
0.35,Ideal,F,VS1,754,4.5,4.54,2.84
0.56,Ideal,D,SI1,1814,5.36,5.31,3.23
2.06,Very Good,F,I1,9789,8.31,8.33,4.88
1.52,Very Good,H,VS1,11912,7.28,7.24,4.61
0.46,Fair,F,VS2,982,4.9,4.76,3.19
0.55,Ideal,D,SI1,1819,5.32,5.27,3.21
0.2,Ideal,D,VS2,367,3.81,3.77,2.33
0.31,Ideal,F,VVS2,706,4.37,4.41,2.73
0.53,Ideal,H,VVS1,1781,5.24,5.26,3.19
0.56,Ideal,G,VVS1,2164,5.31,5.25,3.29
0.31,Premium,F,VS2,625,4.3,4.33,2.69
0.56,Premium,E,VS2,1882,5.45,5.36,3.18
0.37,Ideal,J,VS1,624,4.64,4.59,2.88
0.49,Fair,D,VS2,1249,5.18,5.11,2.96
0.31,Premium,E,VS1,879,4.33,4.29,2.7
1.2,Premium,E,VVS1,13321,6.84,6.97,4.16
1.56,Ideal,I,SI1,8858,7.47,7.42,4.57
1.03,Ideal,D,VS2,7697,6.47,6.51,4.02
0.31,Premium,G,VVS1,816,4.39,4.41,2.62
0.8,Premium,F,SI2,2447,5.95,5.93,3.65
0.4,Ideal,G,VVS1,1374,4.73,4.76,2.93
0.71,Ideal,G,VVS1,3254,5.71,5.76,3.6
0.74,Ideal,G,SI1,3130,5.81,5.83,3.57
1.04,Ideal,H,VS2,5189,6.56,6.53,3.99
0.34,Ideal,E,SI1,565,4.46,4.49,2.8
0.9,Very Good,G,VS1,4515,6.15,6.25,3.8
0.53,Ideal,F,VS1,1619,5.21,5.24,3.22
0.33,Ideal,E,VS2,723,4.45,4.47,2.71
1.0,Ideal,G,VS2,6328,6.54,6.49,3.94
0.31,Premium,D,VS2,816,4.37,4.32,2.68
1.2,Premium,G,VS2,7405,6.74,6.68,4.19
1.15,Premium,G,VS1,7032,6.68,6.6,4.18
0.5,Very Good,F,VS2,1402,5.05,5.08,3.18
0.71,Premium,E,VS1,2920,5.87,5.78,3.48
1.51,Very Good,G,VVS2,13337,7.28,7.34,4.54
0.31,Very Good,E,VVS1,878,4.32,4.38,2.71
0.31,Ideal,D,VS2,734,4.3,4.34,2.71
1.01,Ideal,E,VS1,7665,6.45,6.4,4.03
1.0,Ideal,E,SI1,5555,6.41,6.43,3.94
0.53,Fair,F,VS2,1402,5.09,5.03,3.31
0.41,Premium,J,VS1,647,4.75,4.79,2.96
0.88,Very Good,I,VS1,2996,6.11,6.06,3.85
0.71,Ideal,G,SI1,3007,5.72,5.77,3.53
1.01,Premium,D,SI2,4072,6.41,6.37,3.94
1.01,Fair,G,SI1,2993,6.27,6.22,4.07
1.01,Good,G,VS2,5701,6.37,6.31,4.05
0.5,Premium,F,SI1,1378,5.15,5.12,3.06
1.01,Very Good,E,VS1,7332,6.33,6.43,4.01
1.11,Very Good,F,VVS1,10141,6.77,6.82,4.06
0.71,Good,E,SI1,2573,5.85,5.93,3.44
0.5,Very Good,H,VS2,1178,5.08,5.05,3.13
0.7,Ideal,J,SI1,1926,5.71,5.74,3.46
2.01,Ideal,F,SI2,18394,8.12,8.16,5.02
1.08,Very Good,G,SI2,4318,6.54,6.5,4.12
0.3,Premium,E,VVS2,789,4.32,4.37,2.61
1.11,Premium,J,VS2,4265,6.6,6.56,4.12
1.03,Good,H,SI2,3892,6.3,6.32,4.1
0.54,Premium,F,SI1,1330,5.22,5.2,3.22
1.2,Premium,E,SI2,5779,6.95,6.89,4.18
0.73,Premium,D,SI2,2519,5.72,5.67,3.56
0.36,Very Good,E,VS2,789,4.49,4.56,2.84
0.3,Very Good,G,VVS2,878,4.27,4.24,2.69
0.3,Premium,F,SI1,603,4.37,4.3,2.64
0.53,Ideal,H,VVS1,1842,5.25,5.27,3.22
0.9,Fair,E,SI1,3508,6.06,6.03,3.96
0.7,Premium,E,SI1,2386,5.71,5.84,3.54
1.0,Premium,F,SI2,3858,6.53,6.45,3.91
1.0,Very Good,G,VS2,5544,6.34,6.42,4.0
0.4,Ideal,D,VS2,982,4.74,4.79,2.92
2.15,Good,G,SI2,13317,8.23,8.08,5.2
2.01,Good,H,SI1,15919,7.93,7.98,5.03
0.66,Ideal,H,SI1,1780,5.63,5.7,3.45
0.31,Ideal,F,VS2,749,4.39,4.36,2.72
0.8,Very Good,F,VS1,3720,5.92,5.95,3.7
0.34,Premium,I,VVS1,803,4.44,4.4,2.76
1.0,Ideal,F,VVS2,7849,6.46,6.41,3.96
1.09,Ideal,D,SI1,6133,6.57,6.61,4.08
0.39,Good,G,IF,1213,4.65,4.67,2.96
1.07,Premium,I,I1,2260,6.68,6.62,3.98
0.56,Premium,D,VS2,2011,5.33,5.28,3.26
0.81,Very Good,E,SI1,3243,5.92,5.97,3.68
0.31,Ideal,G,VS2,562,4.37,4.38,2.72
1.51,Very Good,H,VS2,10225,7.21,7.28,4.55
0.74,Very Good,I,VS2,2327,5.83,5.85,3.55
0.9,Very Good,H,VS2,4155,6.1,6.15,3.84
0.45,Premium,I,SI1,941,4.89,4.86,3.03
0.3,Good,D,SI1,515,4.24,4.28,2.69
0.71,Ideal,F,VS1,3710,5.72,5.76,3.53
0.31,Premium,I,VS2,435,4.38,4.42,2.63
1.16,Good,F,SI2,4131,6.78,6.75,4.11
1.5,Very Good,I,SI2,7392,7.28,7.35,4.59
0.38,Premium,D,VS2,1117,4.74,4.71,2.78
1.27,Premium,I,I1,3732,7.05,7.0,4.23
1.27,Premium,J,VS2,4011,6.96,6.92,4.36
0.4,Very Good,F,VVS2,972,4.72,4.75,2.98
0.3,Very Good,E,VS1,660,4.26,4.29,2.71
0.37,Ideal,J,VS1,487,4.54,4.57,2.85
0.41,Ideal,H,VS2,743,4.78,4.81,2.95
0.3,Very Good,H,VVS2,525,4.32,4.36,2.66
0.24,Very Good,E,VVS2,485,3.95,3.97,2.51
1.42,Ideal,J,VVS2,7773,7.19,7.24,4.47
0.91,Good,I,SI2,3061,6.46,6.39,3.72
0.77,Good,D,VS2,3428,5.84,5.77,3.73
1.19,Premium,G,VS1,8109,6.78,6.71,4.22
0.52,Ideal,G,VVS2,2012,5.16,5.12,3.2
2.02,Ideal,I,SI1,16560,8.07,8.09,4.99
0.52,Very Good,H,SI1,1219,5.14,5.09,3.23
0.34,Ideal,E,SI2,477,4.47,4.5,2.8
1.51,Premium,G,VVS2,15303,7.42,7.38,4.51
1.51,Good,H,SI1,8854,7.25,7.32,4.53
0.23,Very Good,D,SI2,449,3.87,3.85,2.45
0.3,Ideal,F,VS2,601,4.28,4.31,2.69
1.57,Ideal,I,SI2,8228,7.38,7.41,4.63
1.31,Very Good,H,VS2,8261,7.04,7.09,4.27
0.41,Ideal,E,VVS2,1187,4.75,4.8,2.95
1.01,Good,E,SI1,4853,6.29,6.22,3.81
0.54,Premium,F,VS1,1770,5.3,5.23,3.16
0.73,Ideal,E,VS2,3470,5.75,5.78,3.55
0.85,Ideal,G,SI1,3766,6.05,6.1,3.77
0.67,Very Good,G,VS2,2131,5.56,5.61,3.45
0.42,Good,G,VVS1,1235,4.78,4.75,3.03
1.06,Ideal,G,VS1,7790,6.56,6.62,4.03
0.43,Ideal,G,VS1,943,4.85,4.88,2.98
0.31,Premium,E,VVS2,816,4.35,4.38,2.7
1.21,Ideal,H,SI1,5936,6.86,6.81,4.24
1.02,Good,D,SI2,4459,6.25,6.32,4.03
1.33,Very Good,H,SI2,6071,7.07,7.11,4.31
0.7,Premium,G,SI1,2106,5.69,5.76,3.56
0.74,Ideal,I,VS1,2947,5.79,5.82,3.6
1.03,Very Good,G,SI2,3755,6.35,6.39,4.01
0.32,Ideal,F,IF,1204,4.41,4.45,2.71
0.4,Very Good,G,VS1,853,4.81,4.85,2.9
1.18,Ideal,I,VS1,6272,6.8,6.77,4.22
0.71,Ideal,H,VS2,3080,5.73,5.75,3.55
0.32,Ideal,G,VS1,828,4.39,4.35,2.71
0.38,Premium,I,VS1,700,4.66,4.72,2.81
0.33,Very Good,F,VS2,854,4.41,4.39,2.78
0.74,Premium,G,SI2,2109,5.77,5.73,3.61
0.31,Ideal,I,VS1,489,4.34,4.38,2.7
1.01,Premium,G,SI2,4249,6.34,6.39,3.98
1.51,Premium,H,SI2,7018,7.32,7.21,4.51
0.41,Ideal,F,VVS1,1295,4.75,4.79,2.95
0.28,Ideal,E,VVS1,646,4.19,4.23,2.61
0.34,Ideal,E,VS1,1033,4.53,4.49,2.74
0.51,Ideal,H,IF,1879,5.14,5.17,3.21
0.57,Ideal,D,VS2,1718,5.42,5.4,3.26
1.1,Premium,H,VS2,5652,6.68,6.62,4.08
1.16,Very Good,I,SI1,4657,6.71,6.76,4.14
0.7,Good,F,SI1,1955,5.55,5.58,3.58
0.71,Very Good,E,VVS1,3907,5.88,5.96,3.43
0.71,Premium,I,VVS2,2386,5.79,5.75,3.54
0.32,Premium,J,SI1,480,4.4,4.36,2.7
1.27,Very Good,H,SI1,7125,6.87,6.94,4.3
0.4,Ideal,G,VVS2,931,4.76,4.79,2.94
0.91,Premium,D,SI2,3403,6.25,6.16,3.85
0.7,Good,I,SI1,1899,5.62,5.65,3.58
0.35,Premium,G,SI1,669,4.6,4.58,2.78
0.53,Very Good,G,SI2,1079,5.28,5.32,3.18
0.55,Ideal,F,SI2,1263,5.27,5.22,3.27
1.23,Very Good,H,VS2,6459,6.89,6.94,4.19
0.53,Ideal,F,VS1,1908,5.22,5.18,3.24
0.91,Premium,D,SI2,4051,6.27,6.22,3.84
0.34,Ideal,D,VVS2,885,4.5,4.52,2.76
0.28,Very Good,D,VVS2,777,4.21,4.25,2.63
0.52,Ideal,H,VS1,1408,5.2,5.23,3.2
0.33,Ideal,D,VS2,781,4.39,4.43,2.76
0.3,Premium,G,VVS2,684,4.3,4.32,2.63
0.56,Ideal,I,VVS1,1605,5.31,5.34,3.24
0.44,Ideal,F,SI1,761,4.89,4.94,3.02
0.5,Very Good,D,VS2,1752,5.04,5.08,3.18
0.97,Premium,I,VS2,3948,6.34,6.29,3.94
1.0,Premium,E,VS1,7744,6.51,6.54,3.94
0.33,Ideal,D,VS2,667,4.43,4.46,2.77
0.64,Ideal,E,SI1,2089,5.57,5.53,3.44
0.34,Ideal,G,VVS1,1000,4.45,4.51,2.77
1.01,Ideal,I,SI1,4518,6.41,6.37,3.98
1.71,Ideal,G,VS1,16618,7.74,7.59,4.76
1.14,Very Good,F,SI1,5819,6.67,6.74,4.09
1.5,Very Good,E,VS1,15957,7.45,7.47,4.4
1.51,Very Good,I,SI1,8214,7.19,7.24,4.58
0.51,Premium,E,SI1,1443,5.15,5.11,3.17
0.3,Premium,F,SI1,641,4.37,4.33,2.65
1.04,Ideal,J,SI1,4469,6.51,6.55,4.05
1.01,Premium,G,VS2,5620,6.37,6.31,3.96
0.31,Ideal,D,VS2,942,4.37,4.33,2.69
0.9,Ideal,H,VS1,4064,6.28,6.24,3.83
0.83,Ideal,I,SI1,3314,5.96,6.02,3.71
1.06,Premium,I,SI2,4007,6.7,6.65,3.9
0.56,Ideal,D,SI2,1243,5.29,5.32,3.3
1.2,Ideal,I,VS1,6639,6.76,6.81,4.24
1.04,Ideal,F,SI2,4630,6.48,6.45,4.05
1.01,Premium,I,SI1,4129,6.46,6.42,3.86
0.71,Very Good,J,VS1,2061,5.67,5.7,3.55
0.54,Very Good,D,VS2,1892,5.24,5.37,3.24
0.42,Good,G,VVS1,1179,4.75,4.78,3.03
1.08,Ideal,F,SI1,5534,6.53,6.57,4.11
0.3,Good,G,VVS1,678,4.23,4.27,2.72
0.38,Ideal,F,VS2,693,4.64,4.67,2.85
1.23,Very Good,G,VVS2,10004,6.93,7.02,4.23
0.26,Ideal,H,VS1,448,4.12,4.14,2.55
1.04,Premium,I,SI1,4601,6.6,6.57,4.0
1.52,Good,J,VS2,7370,7.27,7.33,4.62
1.0,Very Good,E,SI2,4321,6.47,6.53,3.89
1.01,Ideal,G,VS2,6239,6.43,6.46,3.97
0.72,Good,F,SI1,2647,5.67,5.68,3.58
1.13,Premium,H,SI1,5050,6.79,6.7,4.11
0.43,Very Good,H,SI1,716,4.91,4.93,2.96
0.56,Very Good,H,VS1,1688,5.35,5.38,3.21
0.34,Very Good,F,VS2,730,4.49,4.51,2.77
0.81,Ideal,H,IF,4111,5.98,6.01,3.69
0.4,Ideal,D,VVS2,1323,4.74,4.71,2.93
0.54,Ideal,F,SI2,1154,5.22,5.26,3.2
0.27,Ideal,E,VVS2,622,4.1,4.13,2.57
1.57,Ideal,G,VVS2,15144,7.48,7.41,4.64
0.83,Very Good,H,VS2,3249,5.95,6.02,3.69
0.91,Premium,F,VS2,4892,6.21,6.17,3.85
0.32,Ideal,G,VS2,672,4.41,4.37,2.72
1.07,Premium,G,VS2,6471,6.59,6.55,4.08
1.04,Premium,E,SI2,4566,6.7,6.64,3.95
0.5,Premium,G,SI2,978,5.15,5.07,3.1
0.7,Premium,I,SI2,1715,5.71,5.63,3.57
0.38,Ideal,E,VS2,805,4.66,4.68,2.89
0.4,Ideal,H,IF,1158,4.68,4.7,2.94
0.51,Very Good,F,SI1,1312,5.12,5.06,3.21
1.03,Very Good,H,VS2,5266,6.45,6.51,4.02
0.71,Premium,D,SI1,2547,5.83,5.8,3.44
0.38,Ideal,H,VVS2,832,4.63,4.66,2.9
1.23,Ideal,I,VS1,6435,6.86,6.89,4.23
0.31,Good,H,VVS2,802,4.32,4.28,2.74
0.51,Ideal,E,SI1,1438,5.09,5.15,3.18
0.25,Ideal,G,IF,582,4.06,4.07,2.48
0.43,Ideal,E,VS2,1048,4.86,4.79,3.03
0.26,Premium,G,VS1,382,4.07,4.12,2.51
1.14,Good,I,VS1,5056,6.6,6.68,4.2
0.7,Ideal,F,VVS2,4439,5.7,5.78,3.53
1.51,Very Good,E,SI2,9343,7.25,7.3,4.59
0.31,Ideal,D,SI1,571,4.33,4.35,2.71
1.04,Very Good,H,SI2,4435,6.39,6.45,4.04
0.51,Ideal,G,VVS1,1933,5.2,5.22,3.15
0.55,Premium,E,SI2,1185,5.2,5.24,3.23
0.86,Premium,H,SI1,2851,6.04,5.98,3.77
0.3,Very Good,I,SI1,506,4.26,4.24,2.7
0.78,Premium,E,VS2,3494,5.86,5.79,3.66
1.22,Fair,I,SI1,4099,6.61,6.56,4.36
0.72,Very Good,E,VVS1,4847,5.73,5.78,3.53
0.79,Ideal,E,VS1,4240,5.9,5.93,3.67
0.72,Good,D,SI1,2757,5.69,5.75,3.61
1.51,Premium,D,SI1,10122,7.34,7.29,4.55
1.51,Very Good,G,SI2,8637,7.36,7.4,4.46
1.03,Ideal,F,IF,13060,6.44,6.49,4.03
1.21,Ideal,H,VVS1,8286,6.78,6.82,4.27
0.54,Premium,G,SI1,1439,5.26,5.21,3.23
0.3,Premium,D,VS2,710,4.26,4.31,2.62
0.65,Ideal,G,VS1,2242,5.58,5.61,3.39
1.06,Very Good,F,VS2,7706,6.53,6.57,4.03
0.35,Ideal,I,VVS2,590,4.51,4.53,2.82
2.04,Premium,F,SI2,18066,8.17,8.24,4.94
0.99,Very Good,D,SI2,4993,6.3,6.34,3.95
1.33,Good,D,SI2,6152,7.22,7.12,4.23
1.71,Ideal,G,SI1,13196,7.65,7.61,4.74
0.35,Ideal,F,VVS2,806,4.57,4.6,2.81
0.41,Ideal,D,VS2,1076,4.79,4.76,2.98
0.71,Ideal,D,VS2,3135,5.76,5.78,3.53
0.5,Good,E,VS2,1407,5.03,5.06,3.2
1.01,Ideal,E,SI2,4875,6.45,6.42,4.0
2.01,Premium,J,VS1,15185,8.25,8.18,4.94
0.8,Ideal,F,VS1,4070,5.91,5.96,3.73
0.4,Premium,G,VVS2,1050,4.76,4.73,2.93
0.34,Good,H,VS2,537,4.46,4.5,2.83
0.25,Very Good,F,VVS2,583,4.1,4.14,2.52
1.51,Fair,H,VS2,9678,7.49,7.63,4.34
1.51,Very Good,J,SI1,7136,7.27,7.32,4.55
1.22,Ideal,I,VS1,6887,6.83,6.79,4.29
0.32,Premium,J,SI1,365,4.37,4.41,2.73
1.59,Premium,E,SI2,9082,7.59,7.55,4.58
0.52,Premium,D,SI1,1720,5.19,5.16,3.18
0.4,Premium,F,SI1,737,4.67,4.71,2.93
1.21,Premium,H,VS2,7142,6.9,6.83,4.19
0.7,Premium,H,SI2,2142,5.65,5.62,3.54
0.37,Ideal,E,VS2,762,4.64,4.67,2.84
1.0,Very Good,F,VS1,6098,6.57,6.62,3.83
1.02,Good,D,VS1,6797,6.22,6.28,4.04
1.09,Premium,E,SI2,4444,6.81,6.7,4.01
0.8,Ideal,E,SI1,3630,5.99,6.04,3.71
2.06,Premium,I,SI1,15494,8.25,8.16,4.99
1.53,Ideal,H,SI1,10063,7.48,7.54,4.49
0.9,Good,D,VS2,4682,5.99,6.01,3.95
1.09,Premium,H,SI2,4761,6.69,6.63,3.97
0.7,Very Good,J,VVS1,2042,5.63,5.68,3.58
0.34,Ideal,F,SI1,491,4.54,4.58,2.71
1.5,Premium,H,SI2,7812,7.29,7.24,4.52
1.2,Very Good,G,VS2,7983,6.75,6.78,4.21
1.01,Premium,F,SI1,5713,6.57,6.5,3.85
1.53,Ideal,G,SI2,9468,7.39,7.34,4.59
0.26,Premium,E,VVS1,769,4.14,4.11,2.55
1.32,Ideal,G,VVS2,13261,7.03,7.08,4.35
0.9,Very Good,H,VVS2,4740,6.12,6.15,3.83
0.4,Ideal,G,VS2,804,4.69,4.74,2.95
0.56,Fair,F,VS2,1814,5.49,5.36,3.09
0.33,Ideal,E,VS2,928,4.48,4.46,2.74
1.35,Ideal,H,VS2,6502,7.08,7.02,4.34
1.01,Premium,F,SI1,4829,6.53,6.61,3.96
0.38,Very Good,E,VS1,1000,4.64,4.69,2.87
0.5,Premium,G,VS1,1746,5.08,5.06,3.17
1.0,Fair,J,SI2,3199,6.58,6.54,3.69
0.9,Good,G,IF,5855,6.12,6.17,3.8
0.31,Ideal,F,VVS2,977,4.36,4.33,2.71
0.42,Premium,G,VS2,1087,4.9,4.86,2.92
0.3,Ideal,H,VS1,675,4.29,4.26,2.69
0.33,Very Good,G,VS1,652,4.46,4.49,2.72
1.04,Very Good,G,SI2,4084,6.5,6.56,3.94
0.4,Very Good,E,SI1,694,4.71,4.74,2.94
0.7,Premium,F,SI1,2470,5.68,5.72,3.51
0.83,Ideal,H,SI2,2565,6.04,6.07,3.77
0.71,Ideal,D,VS2,3838,5.76,5.81,3.53
0.43,Good,H,VVS1,1000,4.91,4.93,2.95
0.93,Ideal,E,SI1,4511,6.26,6.31,3.89
0.31,Very Good,H,VS2,489,4.4,4.43,2.65
0.36,Ideal,E,VS1,1094,4.58,4.54,2.81
0.51,Good,H,SI1,1119,5.06,5.09,3.22
1.22,Premium,G,VS1,8583,6.82,6.87,4.26
1.53,Very Good,H,IF,13369,7.34,7.25,4.6
0.51,Very Good,D,VS1,1882,5.07,5.1,3.22
0.53,Ideal,D,SI1,1683,5.23,5.19,3.23
1.52,Very Good,I,VS1,9576,7.26,7.23,4.51
0.41,Ideal,D,VS1,1151,4.78,4.82,2.93
1.01,Premium,H,VS1,5199,6.37,6.39,4.0
1.06,Premium,H,VS2,5520,6.61,6.57,4.0
0.4,Ideal,G,SI1,855,4.76,4.81,2.92
0.72,Very Good,H,VS2,2550,5.74,5.77,3.55
0.32,Premium,G,VS2,720,4.43,4.36,2.72
0.53,Ideal,D,VS2,1659,5.18,5.21,3.19
0.3,Ideal,E,VS2,658,4.27,4.3,2.64
0.9,Very Good,F,SI2,3787,6.1,6.17,3.83
0.62,Ideal,J,VS1,1297,5.46,5.49,3.41
0.33,Ideal,F,VS2,666,4.43,4.47,2.73
1.05,Premium,G,SI1,4857,6.48,6.44,4.01
1.08,Premium,H,VS2,5250,6.56,6.49,4.07
1.18,Ideal,G,VVS2,10308,6.86,6.81,4.19
1.43,Fair,E,SI1,7928,7.1,7.03,4.61
2.14,Ideal,G,SI2,14359,8.18,8.14,5.13
1.31,Ideal,I,VS2,6999,7.1,7.0,4.35
0.42,Ideal,E,VS2,958,4.8,4.82,2.98
0.32,Premium,F,SI1,684,4.45,4.42,2.66
0.73,Ideal,F,SI2,2355,5.72,5.75,3.57
0.45,Ideal,E,VVS2,1401,4.95,4.91,3.05
