,Title,Genre,Premiere,Runtime,IMDb Score,Language
114,Airplane Mode,Comedy,"January 23, 2020",96,5.0,Portuguese
115,"Ram Dass, Going Home",Documentary,"April 6, 2018",31,7.1,English
116,Chasing Coral ,Documentary,"July 14, 2017",89,8.1,English
117,"Bikram: Yogi, Guru, Predator",Documentary,"November 20, 2019",86,6.7,English
118,They'll Love Me When I'm Dead,Documentary,"November 2, 2018",98,7.4,English
119,The Road to El Camino: A Breaking Bad Movie,Making-of,"October 29, 2019",13,7.2,English
120,ARQ,Science fiction/Thriller,"September 16, 2016",88,6.4,English
121,Stuck Apart,Drama,"January 8, 2021",96,6.1,Turkish
122,Miss Americana,Documentary,"January 31, 2020",85,7.4,English
123,Anelka: Misunderstood,Documentary,"August 5, 2020",94,6.4,French
124,Gaga: Five Foot Two,Documentary,"September 22, 2017",100,7.0,English
125,The Babysitter: Killer Queen,Comedy/Horror,"September 10, 2020",102,5.8,English
126,I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron,Aftershow / Interview,"November 3, 2020",14,7.0,English
127,Joan Didion: The Center Will Not Hold,Documentary,October 27. 2017,98,7.5,English
128,Bomb Scared,Black comedy,"October 12, 2017",89,5.6,Spanish/Basque
129,To the Bone,Drama,"July 14, 2017",107,6.8,English
130,Taylor Swift: Reputation Stadium Tour,Concert Film,"December 31, 2018",125,8.4,English
131,Biggie: I Got a Story to Tell,Documentary,"March 1, 2021",97,6.9,English
132,The Other One: The Long Strange Trip of Bob Weir,Documentary,"May 22, 2015",83,7.3,English
133,How It Ends,Action-thriller,"July 13, 2018",113,5.0,English
134,Operation Christmas Drop,Romantic comedy,"November 5, 2020",96,5.8,English
135,Lionheart,Comedy,"January 4, 2019",94,5.7,English
136,Saving Capitalism,Documentary,"November 21, 2017",73,6.8,English
137,The Fundamentals of Caring,Comedy-drama,"June 24, 2016",97,7.3,English
138,Forgive Us Our Debts,Drama,"May 4, 2018",104,6.0,Italian
139,Citation,Drama,"November 6, 2020",151,6.2,English
140,American Son,Drama,"November 1, 2019",90,5.8,English
141,Arlo the Alligator Boy,Animated musical comedy,"April 16, 2021",92,6.7,English
142,Monster,Drama,"May 7, 2021",98,6.5,English
143,Have a Good Trip: Adventures in Psychedelics,Documentary,"May 11, 2020",85,6.8,English
144,Lust Stories,Drama,"June 15, 2018",120,6.5,Hindi
145,Como Caído del Cielo,Musical comedy,"December 24, 2019",112,6.4,Spanish
146,Ghost Stories,Horror anthology,"January 1, 2020",144,4.3,Hindi
147,Paradox,Musical/Western/Fantasy,"March 23, 2018",73,3.9,English
148,Rising High,Satire,"April 17, 2020",94,5.8,German
149,The Lovebirds,Romantic comedy,"May 22, 2020",87,6.1,English
150,Seventeen,Coming-of-age comedy-drama,"October 18, 2019",99,7.2,Spanish
151,The Angel,Spy thriller,"September 14, 2018",114,6.6,English
152,Grass Is Greener,Documentary,"April 20, 2019",97,7.1,English
153,Wheelman,Action thriller,"October 20, 2017",82,6.4,English
154,End Game,Documentary,"May 4, 2018",40,7.1,English
155,Raat Akeli Hai,Thriller,"July 31, 2020",149,7.3,Hindi
156,Paddleton,Drama-Comedy,"February 22, 2019",89,7.2,English
157,First Match,Sports-drama,"March 30, 2018",102,6.4,English
158,Mute,Science fiction/Mystery,"February 23, 2018",126,5.5,English
159,The After Party,Comedy,"August 24, 2018",89,5.8,English
160,Tribhanga – Tedhi Medhi Crazy,Drama,"January 15, 2021",95,6.1,Hindi
161,Derren Brown: Sacrifice,Mentalism special,"October 19, 2018",49,7.1,English
162,Candy Jar,Comedy,"April 27, 2018",92,5.8,English
163,The Rachel Divide,Documentary,"April 27, 2018",104,6.2,English
164,Alex Strangelove,Romantic comedy,"June 8, 2018",99,6.3,English
165,The Edge of Democracy,Documentary,"June 19, 2019",121,7.2,Portuguese
166,The Girl on the Train,Thriller,"February 26, 2021",120,4.4,Hindi
167,The Ballad of Buster Scruggs,Western,"November 16, 2018",132,7.3,English
168,Chadwick Boseman: Portrait of an Artist,Documentary,"April 17, 2021",21,6.5,English
169,The Decline,Thriller,"March 27, 2020",83,5.9,French
170,"Out of Many, One",Documentary,"December 12, 2018",34,5.7,English
171,IO,Science fiction/Drama,"January 18, 2019",95,4.7,English
172,Vampires vs. the Bronx,Horror comedy,"October 2, 2020",86,5.6,English
173,To All the Boys I've Loved Before,Romantic comedy,"August 17, 2018",99,7.1,English
174,Nail Bomber: Manhunt,Documentary,"May 26, 2021",72,6.3,English
175,Upstarts,Drama,"October 18, 2019",112,6.7,Hindi
176,Casting JonBenet,Documentary,"April 28, 2017",80,6.1,English
177,Uncorked,Drama,"March 27, 2020",103,6.3,English
178,Army of the Dead,Zombie/Heist,"May 21, 2021",148,5.9,English
179,My Beautiful Broken Brain,Documentary,"March 18, 2016",91,7.1,English
